Date,BIL,GLD,QQQ,SCHD,SPY,SWAN,VXUS,KS200
2018-11-06,76.3316421508789,116.04000091552734,162.46295166015625,13.233939170837402,245.98831176757812,20.256013870239258,40.34606170654297,271.57000732421875
2018-11-07,76.3400650024414,116.02999877929688,167.55899047851562,13.39936637878418,251.25450134277344,20.668245315551758,40.88739776611328,270.45001220703125
2018-11-08,76.34831237792969,115.77999877929688,166.4901580810547,13.394196510314941,250.798583984375,20.555082321166992,40.4256591796875,272.1099853515625
2018-11-09,76.36500549316406,114.4800033569336,163.6844482421875,13.316652297973633,248.34869384765625,20.514667510986328,40.00373077392578,271.3299865722656
2018-11-12,76.356689453125,113.66000366210938,158.73158264160156,13.133133888244629,243.70826721191406,20.312593460083008,39.36686325073242,271.57000732421875
2018-11-13,76.36500549316406,113.69999694824219,158.86520385742188,13.122797966003418,243.2522735595703,20.207517623901367,39.57383728027344,269.70001220703125
2018-11-14,76.356689453125,114.63999938964844,157.65318298339844,13.060763359069824,241.5892333984375,20.207517623901367,39.69325256347656,268.8800048828125
2018-11-15,76.38169860839844,114.7699966430664,160.41114807128906,13.153812408447266,244.11056518554688,20.344921112060547,39.9798469543457,271.5400085449219
2018-11-16,76.39007568359375,115.62000274658203,159.84814453125,13.19000244140625,244.74542236328125,20.401504516601562,39.9798469543457,271.6499938964844
2018-11-19,76.38169860839844,115.66999816894531,154.6566162109375,13.078855514526367,240.60569763183594,20.14284896850586,39.63752365112305,272.3099975585937
2018-11-20,76.3984146118164,115.66999816894531,151.88912963867188,12.815210342407227,236.15296936035156,19.916526794433594,38.833465576171875,269.5799865722656
2018-11-21,76.41505432128906,115.86000061035156,153.0438690185547,12.830719947814941,236.95765686035156,19.97310447692871,39.4305419921875,268.2699890136719
2018-11-23,76.41505432128906,115.7699966430664,151.93685913085938,12.771270751953125,235.37509155273438,19.97310447692871,39.18376541137695,266.3299865722656
2018-11-26,76.42341613769531,115.63999938964844,155.44871520996094,12.9082612991333,239.17503356933594,20.02968978881836,39.701210021972656,269.7900085449219
2018-11-27,76.42341613769531,114.94999694824219,155.97360229492188,13.003900527954102,239.979736328125,20.086273193359375,39.60567855834961,272.0799865722656
2018-11-28,76.43181610107422,115.37999725341797,160.9933319091797,13.208093643188477,245.50537109375,20.26409339904785,40.29032516479492,273.45001220703125
2018-11-29,76.44013214111328,115.73999786376953,160.46844482421875,13.182246208190918,244.96896362304688,20.377254486083984,40.091304779052734,274.1600036621094
2018-11-30,76.44844818115234,115.54000091552734,161.6326904296875,13.324407577514648,246.46212768554688,20.53891944885254,39.971893310546875,271.3500061035156
2018-12-03,76.4459457397461,116.41000366210938,164.45751953125,13.389022827148438,249.7255859375,20.781404495239258,40.545074462890625,276.17999267578125
2018-12-04,76.4543228149414,117.12000274658203,158.1494903564453,13.032329559326172,241.6339111328125,20.401504516601562,39.55790710449219,273.2900085449219
2018-12-06,76.47110748291016,117.13999938964844,159.26600646972656,12.983217239379883,241.2672882080078,20.36917495727539,39.23151397705078,267.17999267578125
2018-12-07,76.47940063476562,118.08999633789062,154.00770568847656,12.72732925415039,235.66123962402344,20.199430465698242,38.722023010253906,268.2799987792969
2018-12-10,76.48776245117188,117.68000030517578,155.62051391601562,12.748010635375977,236.10830688476562,20.12668228149414,38.38765335083008,265.3500061035156
2018-12-11,76.47940063476562,117.54000091552734,156.13583374023438,12.768688201904297,236.16189575195312,20.086273193359375,38.515037536621094,264.69000244140625
