,SPY,QQQ,GLD,KOSPI,CAGR,MDD,Sharpe
0,40,10,20,30,0.10389378225678825,-0.26208475042051993,0.4951694501188163
1,45,10,15,30,0.10591518433797265,-0.27587003507931773,0.4839346194217901
2,45,10,20,25,0.10914302775276785,-0.26284268241481,0.5228178847322872
3,50,10,10,30,0.10778062361695939,-0.2900076121897941,0.4706501767877658
4,50,10,15,25,0.1110871407486771,-0.27670526699383224,0.5084447154036251
5,50,10,20,20,0.11425450338627008,-0.2637147186533705,0.5441448502387555
6,55,10,5,30,0.10948921160110947,-0.30408737974955,0.45608347922620907
7,55,10,10,25,0.11287423610548797,-0.29042978624144,0.49254441635495433
8,55,10,15,20,0.11612028183920464,-0.2776522792567774,0.527369331029185
9,55,10,20,15,0.11922608238140397,-0.2647004744222836,0.5596002404745893
10,60,10,5,25,0.11450345394393113,-0.304450883903844,0.475800439132852
11,60,10,10,20,0.1178280138430059,-0.29144848460548256,0.509520893082768
12,60,10,15,15,0.12101250540439001,-0.2787106618530939,0.541153516208235
13,60,10,20,10,0.12405568303682513,-0.2657995256812613,0.5698595472921424
14,65,10,5,20,0.11937686860952024,-0.30510154425649927,0.4911878583375696
15,65,10,10,15,0.12263987973655799,-0.2925762197672497,0.5219938836551511
16,65,10,15,10,0.1257617549727057,-0.27987996628886835,0.5503977057084797
17,65,10,20,5,0.12874127002189883,-0.2670114092974708,0.5756956901776771
18,70,10,5,15,0.12410740414895116,-0.3062954219732792,0.5026180906986687
19,70,10,10,10,0.12730780307580702,-0.29381251992256063,0.5304852488310644
20,70,10,15,5,0.13036602109049578,-0.28115970583511063,0.5557627146682613
21,75,10,5,10,0.12869305613446969,-0.30759552549754965,0.5105389309192542
22,75,10,10,5,0.131829800804953,-0.2951568758849634,0.5355546323512856
23,80,10,5,5,0.1331318684187286,-0.3090013243025562,0.5154223484186772
24,35,15,20,30,0.10530174727619812,-0.2558451064283661,0.5149499524087585
25,40,15,15,30,0.10736976710001511,-0.2696686180256571,0.5034752633001238
26,40,15,20,25,0.11058615990284104,-0.256534546816667,0.5434345655610144
27,45,15,10,30,0.109281766295656,-0.28357256097180117,0.48972181386658586
28,45,15,15,25,0.11257702972736183,-0.27043747191625167,0.5286224485272396
29,45,15,20,20,0.1157328516613847,-0.25733920804746646,0.5652341298217579
30,50,15,5,30,0.11103684030031502,-0.29770436918480325,0.4745394251100719
31,50,15,10,25,0.11441081557107102,-0.28420403229078073,0.5120952068509774
32,50,15,15,20,0.11764551811373747,-0.27131922299235356,0.5478660044888651
33,50,15,20,15,0.12073968518399836,-0.25825872809980266,0.5808207491702599
34,55,15,5,25,0.11608664141039204,-0.2980004679123065,0.4946145893558871
35,55,15,10,20,0.11940006319901486,-0.28515955013106375,0.5292785836933112
36,55,15,15,15,0.12257311938321624,-0.2723134832035057,0.5616800329297567
37,55,15,20,10,0.1256045680991622,-0.259292705208125,0.5909202846528934
38,60,15,5,20,0.12099563991411455,-0.2988583337056505,0.5101301058418927
39,60,15,10,15,0.12424742134003552,-0.2862252424150913,0.5417165123555553
40,60,15,15,10,0.1273577663186587,-0.2734198256013798,0.5707124812216823
41,60,15,20,5,0.130325454333156,-0.26044069808722603,0.5963687751404305
42,65,15,5,15,0.12576177354344087,-0.2999922140462876,0.5214868642812711
43,65,15,10,10,0.12895084846586125,-0.2874006581658015,0.5499729997709593
44,65,15,15,5,0.1319974386513234,-0.2746377845749495,0.5756786430715995
45,70,15,5,10,0.13038302698353665,-0.3012334761584289,0.5291687408437982
46,70,15,10,5,0.13350835063677602,-0.28868530859601405,0.5546533985584158
47,75,15,5,5,0.1348574331375041,-0.3025816092069824,0.5336854445785281
48,30,20,20,30,0.10662916033955017,-0.2496456087313339,0.5324262360073112
49,35,20,15,30,0.10874373887633015,-0.2635054718369587,0.5210602971064409
50,35,20,20,25,0.111948412793478,-0.2502653914093814,0.5618221354450497
51,40,20,10,30,0.1107022500663748,-0.27723408135436445,0.5071399610462657
52,40,20,15,25,0.11398598542675797,-0.26420679178226514,0.5469205692084589
53,40,20,20,20,0.11713000194543488,-0.2510015006231725,0.5842121631545925
54,45,20,5,30,0.11250377330354189,-0.291351183328756,0.4915965921830507
55,45,20,10,25,0.11586641889905391,-0.2780135695232192,0.5300624884390203
56,45,20,15,20,0.11908950743676816,-0.2650221153787432,0.566586820387975
57,45,20,20,15,0.12217177995060369,-0.25185359744701874,0.6000734318023327
58,50,20,5,25,0.11758882106702995,-0.29168374035086664,0.512091122495184
59,50,20,10,20,0.12089082785677618,-0.27890475160807326,0.5475405787780832
60,50,20,15,15,0.12405218147292563,-0.26595107693966336,0.5805499107735977
61,50,20,20,10,0.12707164387958114,-0.25282130279632675,0.6101675690407453
62,55,20,5,20,0.12253310000964368,-0.29264748798375806,0.5278073611679692
63,55,20,10,15,0.12577337846509407,-0.27990723632936076,0.5600405517268533
64,55,20,15,10,0.12887192968301298,-0.26699327146509866,0.5894954282784629
65,55,20,20,5,0.13182753702510142,-0.25390419764346905,0.6153830340866836
66,60,20,5,15,0.12733453715396603,-0.2937202181597218,0.539168877905341
67,60,20,10,10,0.13051201848657867,-0.28102059393642465,0.5681619626269221
68,60,20,15,5,0.13354672109097532,-0.26814825486834193,0.5941861533606235
69,65,20,5,10,0.1319911064050605,-0.2949014775210659,0.5466912233666433
70,65,20,10,5,0.13510474320356902,-0.2822443564439786,0.5725513026762755
71,70,20,5,5,0.13650082982063294,-0.29619077532312466,0.5509188333465073
72,25,25,20,30,0.10787576513165975,-0.24348775737776374,0.5471709089760092
73,30,25,15,30,0.11003683766387251,-0.25738207577018624,0.5363019683312865
74,30,25,20,25,0.11322952624618976,-0.24403672089929052,0.5775438452777151
75,35,25,10,30,0.1120418072662388,-0.27114695582331616,0.5225622984709162
76,35,25,15,25,0.11531374197631461,-0.2580147101068909,0.5629510420927528
77,35,25,20,20,0.11844569020913354,-0.24470310538165174,0.6006505279940381
78,40,25,5,30,0.1138897373184038,-0.2850292980471949,0.5069580644687701
79,40,25,10,25,0.1172407745562094,-0.2718598601730009,0.546108785484511
80,40,25,15,20,0.12045198008400049,-0.2587624438307825,0.583156637355798
81,40,25,20,15,0.12352209881508602,-0.24548659539547968,0.6169521667293796
82,45,25,5,25,0.1190097157496246,-0.2855701212418593,0.5279403773598964
83,45,25,10,20,0.12230003242771881,-0.27268555478655865,0.5639837401099989
84,45,25,15,15,0.125449418110666,-0.25962493401683706,0.5974106897286388
85,45,25,20,10,0.12845663869046264,-0.2463868349422086,0.6272267875740515
86,50,25,5,20,0.12398896787631641,-0.28647045111118963,0.543943939913984
87,50,25,10,15,0.12721747188427468,-0.2736236704216407,0.5766639256392948
88,50,25,15,10,0.1303039676809883,-0.26060179801533656,0.6064228229234195
89,50,25,20,5,0.13324724260543275,-0.24740342766072843,0.6324000503900501
90,55,25,5,15,0.12882541012287452,-0.28748088112750936,0.5554070163354762
91,55,25,10,10,0.1319910300894993,-0.27467379895238553,0.5847750666211754
92,55,25,15,5,0.13501358722080448,-0.2616926136693569,0.6109930109861545
93,60,25,5,10,0.13351700572267888,-0.28860097884305935,0.5628704067018541
94,60,25,10,5,0.1366186916551917,-0.2758354935972611,0.5889978689825862
95,65,25,5,5,0.13806176599363607,-0.2898302740017209,0.5669085993761012
96,20,30,20,30,0.10904131749199952,-0.23737305271499098,0.5588342503111904
97,25,30,15,30,0.111248813601319,-0.251299909696597,0.5488646675169756
98,25,30,20,25,0.11442925226975031,-0.23785004061831116,0.5902295275310168
99,30,30,10,30,0.11330018235919614,-0.26509918450694747,0.5356801586552787
100,30,30,15,25,0.11656004567874367,-0.25186271134027327,0.5763691618415275
101,30,30,20,20,0.11967966464151081,-0.23844553227593857,0.6141752514130281
102,35,30,5,30,0.11519447116248682,-0.2787687000189496,0.5203478561530036
103,35,30,10,25,0.11853362316659699,-0.26574436770812526,0.5599237677985027
104,35,30,15,20,0.12173267853438152,-0.25254169701888685,0.5972348788414866
105,35,30,20,15,0.12479038615910598,-0.23915923615449552,0.6310937694344769
106,40,30,5,25,0.12034906043330973,-0.2794928940816037,0.5418890410867754
107,40,30,10,20,0.12362741370946817,-0.26650342696496443,0.578306038974611
108,40,30,15,15,0.12676456796523894,-0.2533365469658636,0.6119366458251205
109,40,30,20,10,0.12975929311989387,-0.23999081974527636,0.6417563290052718
110,45,30,5,20,0.12536297466151702,-0.2803286689387967,0.5582764823159841
111,45,30,10,15,0.12857943458363996,-0.2673760154659963,0.591300529807707
112,45,30,15,10,0.13165361518628638,-0.2542469012823828,0.6211911932622828
113,45,30,20,5,0.13458430788386044,-0.24093990976150947,0.6471063750135009
114,50,30,5,15,0.13023411978592492,-0.2812756519022729,0.5699532030615467
115,50,30,10,10,0.1333876124654121,-0.2683617471075699,0.5995471064227783
116,50,30,15,5,0.13639776813587012,-0.25527236014578514,0.6258221411269665
117,55,30,5,10,0.1349604484780813,-0.28233343182820114,0.577476819842601
118,55,30,10,5,0.13804992140488803,-0.2694601967129028,0.6037513514243518
119,60,30,5,5,0.13953996142311476,-0.2835015593463944,0.5814454495442156
120,15,35,20,30,0.11012558549589246,-0.23130299503123297,0.5671764978556157
121,20,35,15,30,0.11237942905159137,-0.24526045375071737,0.5584925906676723
122,20,35,20,25,0.11554735514237735,-0.231706856167043,0.5996082947219149
123,25,35,10,30,0.11447713201986343,-0.2590922272637687,0.5462409226406443
124,25,35,15,25,0.1177246550935318,-0.24575228051792353,0.5869004275349458
125,25,35,20,20,0.12083168573308667,-0.23223029185532928,0.6244977606832045
126,30,35,5,30,0.1164177258484993,-0.27279607275325657,0.5315284050525111
127,30,35,10,25,0.11974471759641525,-0.2596685564876622,0.5712453986642917
128,30,35,15,20,0.12293135755459916,-0.24636136452063662,0.6085402404158089
129,30,35,20,15,0.12597639869627786,-0.23287303485690547,0.6422057088393824
130,35,35,5,25,0.1216066023187341,-0.27345350245540234,0.5536963533425364
131,35,35,10,20,0.12487272077167844,-0.26035983664882434,0.590245639011285
132,35,35,15,15,0.12799738202258548,-0.24708740954613584,0.6238505095437579
133,35,35,20,10,0.13097936011679234,-0.2336347765554101,0.6534713476682444
134,40,35,5,20,0.12665486376695223,-0.27422358881366016,0.5705684091673515
135,40,35,10,15,0.1298590118495886,-0.2611657437591285,0.6036968317596152
136,40,35,15,10,0.13292061941754807,-0.2479300788459844,0.6335357556103813
137,40,35,20,5,0.13583848205822435,-0.23451516714502163,0.6592332492107525
138,45,35,5,15,0.13156040576042827,-0.27510598124257335,0.5825809133930283
139,45,35,10,10,0.134701507132172,-0.26208591413346494,0.6122387787072775
140,45,35,15,5,0.13769900730237938,-0.24888899533518527,0.6384268774635656
141,50,35,5,10,0.13632117052013393,-0.2761002902952844,0.5902980748617203
