,SPY,QQQ,GLD,KOSPI,CAGR,MDD,Sharpe
0,40,10,20,30,0.14761692986494213,-0.26208475192644,0.8813886233106059
1,45,10,15,30,0.14571105403872897,-0.2758700398821543,0.8277534306462256
2,45,10,20,25,0.14912015272995127,-0.2628426868406666,0.8765762849653923
3,50,10,10,30,0.14365435401391746,-0.2900076351170352,0.7730516381869021
4,50,10,15,25,0.14712894462023507,-0.2767052749168155,0.8206355897890536
5,50,10,20,20,0.1504513122853155,-0.26371472618104586,0.8628196666387035
6,55,10,5,30,0.14144760024402814,-0.30408740616979046,0.7188537084095905
7,55,10,10,25,0.14498698756048256,-0.2904297978521231,0.7645770729963682
8,55,10,15,20,0.1483748578906976,-0.2776522904751375,0.8060670450913714
9,55,10,20,15,0.15160981124099981,-0.2647004852289132,0.8417612296679032
10,60,10,5,25,0.14269508283522003,-0.3044509137791933,0.7097368037491129
11,60,10,10,20,0.14614776175873234,-0.29144849969471476,0.7499405470242521
12,60,10,15,15,0.14944823100612603,-0.2787106765372803,0.7855116067458859
13,60,10,20,10,0.1525951234858176,-0.2657995399391261,0.8152196757881612
14,65,10,5,20,0.14377085592907624,-0.3051015633815396,0.6955316616147598
15,65,10,10,15,0.14713614821761767,-0.2925762384988453,0.7303993050569948
16,65,10,15,10,0.15034857233274113,-0.27987998460444563,0.7605042545817627
17,65,10,20,5,0.15340679445253502,-0.26701142717389603,0.7849312583867236
18,70,10,5,15,0.14467442558039623,-0.30629544490707916,0.6772925890934804
19,70,10,10,10,0.14795168977096007,-0.2938125424554251,0.7072223086367724
20,70,10,15,5,0.15107546178982045,-0.2811597279426641,0.7324698773373638
21,75,10,5,10,0.1454053690667978,-0.307595552392417,0.6560557710459843
22,75,10,10,5,0.1485940007980049,-0.2951569023730022,0.6815660005799135
23,80,10,5,5,0.14596333518698068,-0.3090013553057832,0.6327549159134669
24,35,15,20,30,0.15015878284892525,-0.2558450972303612,0.914896159982985
25,40,15,15,30,0.14830063316993103,-0.2696686119336955,0.8613617095655274
26,40,15,20,25,0.15170460215909487,-0.25653454030088196,0.9115353668583595
27,45,15,10,30,0.14629113891950585,-0.28357258017124054,0.8060799369942964
28,45,15,15,25,0.14976092044406863,-0.27043746871561614,0.8552008998040934
29,45,15,20,20,0.15307804094216348,-0.25733920440159186,0.8984691925749598
30,50,15,5,30,0.14413105461374154,-0.29770439157765727,0.7508245555858968
31,50,15,10,25,0.14766595903261392,-0.28420403261039984,0.798169026495414
32,50,15,15,20,0.15104890233262536,-0.27131922286408605,0.8409173745433234
33,50,15,20,15,0.1542784860138029,-0.2582587275068655,0.8773856159526436
34,55,15,5,25,0.14542050337069323,-0.2980004935443483,0.7419778411151313
35,55,15,10,20,0.14886858095061184,-0.28515955371500956,0.7835258496309169
36,55,15,15,15,0.15216400016535658,-0.2723134863239449,0.820047193604311
37,55,15,20,10,0.15530539548295286,-0.2592927078463768,0.8502213876087793
38,60,15,5,20,0.1465378931008141,-0.298858341180815,0.7275711811497042
39,60,15,10,15,0.14989846052902456,-0.28622524943305894,0.7634882413330211
40,60,15,15,10,0.1531057066025603,-0.27341983214205257,0.7942436842776037
41,60,15,20,5,0.1561582991267625,-0.26044070413003584,0.8188632255443612
42,65,15,5,15,0.14748271418302838,-0.2999922251305265,0.7087368057381525
43,65,15,10,10,0.15075512497442856,-0.2874006687826465,0.7394330708249651
44,65,15,15,5,0.15387358598770295,-0.2746377947024733,0.7650649389949018
45,70,15,5,10,0.14825452835108166,-0.3012334910099823,0.6866039426984909
46,70,15,10,5,0.15143817317475694,-0.2886853229716583,0.7126292696366164
47,75,15,5,5,0.14885296900150058,-0.3025816279791387,0.662198576668764
48,30,20,20,30,0.1526068357384105,-0.24964558899556488,0.9430127531302953
49,35,20,15,30,0.15079679654404443,-0.26350545500489586,0.8905190690073385
50,35,20,20,25,0.15419530378218482,-0.25026537411066707,0.9415229563798048
51,40,20,10,30,0.14883490553287881,-0.2772340676565156,0.8354956494468779
52,40,20,15,25,0.15229954076165653,-0.2642067776053084,0.8857162507770304
53,40,20,20,20,0.155611088278367,-0.2510014859549681,0.9296650098354273
54,45,20,5,30,0.14672190113171069,-0.29135120193958886,0.7798956336084604
55,45,20,10,25,0.1502519803694764,-0.27801355868788324,0.828506004569169
56,45,20,15,20,0.15362966566104386,-0.2650221040437064,0.8721716297270441
57,45,20,20,15,0.1568535601301142,-0.2518535855982036,0.9091110332058304
58,50,20,5,25,0.14805339205797008,-0.2916837330608869,0.7716237711599195
59,50,20,10,20,0.15149653224783566,-0.27890474381545705,0.8142372547137926
60,50,20,15,15,0.15478657672409368,-0.26595106862873696,0.8514491001283233
61,50,20,20,10,0.15792216164216089,-0.25282129395108544,0.8818664832667806
62,55,20,5,20,0.14921248845019264,-0.292647483926871,0.7573264044786564
63,55,20,10,15,0.1525680012450472,-0.2799072317550103,0.7940775741137216
64,55,20,15,10,0.15576975087746203,-0.26699326635574216,0.8252878622308956
65,55,20,20,5,0.1588164069055884,-0.2539041919811835,0.8499367075511373
66,60,20,5,15,0.150198664983064,-0.29372021750487565,0.7381939501413373
67,60,20,10,10,0.1534658989093729,-0.28102059275111924,0.7694913770611012
68,60,20,15,5,0.15657873685500445,-0.26814825313317725,0.7953601835569738
69,65,20,5,10,0.151011467812054,-0.2949014804324114,0.7154363805974309
70,65,20,10,5,0.15418980860029996,-0.28224435881363097,0.7418493041502279
71,70,20,5,5,0.15165051489109316,-0.29619078195992354,0.6901661822706615
72,25,25,20,30,0.15496042756273432,-0.24348772728028067,0.964960693932772
73,30,25,15,30,0.15319887514810815,-0.2573820483624948,0.9144539977111578
74,30,25,20,25,0.15659158902936499,-0.24403669298626784,0.9657000664479536
75,35,25,10,30,0.15128497693415266,-0.27114693135100365,0.8605788157057764
76,35,25,15,25,0.15474412902345724,-0.2580146851106989,0.9113858739899082
77,35,25,20,20,0.1580497782157142,-0.24470307985226103,0.9555565868338128
78,40,25,5,30,0.14921945510932844,-0.2850293131299446,0.8054227343972895
79,40,25,10,25,0.1527443671792279,-0.2718598383284846,0.8548686919020926
80,40,25,15,20,0.1561164638827368,-0.2587624214386315,0.8990495340634587
81,40,25,20,15,0.15933435009717023,-0.2454865724444062,0.9361188222918667
82,45,25,5,25,0.15059305680306223,-0.28557010276739314,0.7980454086273353
83,45,25,10,20,0.1540309238815205,-0.2726855357557778,0.8413854739386405
84,45,25,15,15,0.1573152693412716,-0.2596249144167321,0.8789837299220425
85,45,25,20,10,0.1604447311528432,-0.2463868147595316,0.909398917768577
86,50,25,5,20,0.1517939425747552,-0.28647043564961894,0.784203754573058
87,50,25,10,15,0.15514407131759245,-0.27362365438595704,0.8215291291873916
88,50,25,15,10,0.15834000656725378,-0.26060178139063217,0.8529696860572581
89,50,25,20,5,0.16138041976019046,-0.24740341043180536,0.8774751597591723
90,55,25,5,15,0.15282157136937768,-0.2874808688535917,0.7651197037154063
91,55,25,10,10,0.15608330534917703,-0.2746737860884707,0.7968221785247397
92,55,25,15,5,0.15919020865398736,-0.2616926001986465,0.8227640854273798
93,60,25,5,10,0.15367547373256318,-0.28860096992683126,0.7420649149223232
94,60,25,10,5,0.15684819377303283,-0.2758354840769923,0.7687183965014781
95,65,25,5,5,0.15435525213802204,-0.2898302686083962,0.7162271528849404
96,20,30,20,30,0.1572189151403558,-0.23737301244175413,0.9802560613613034
97,25,30,15,30,0.15550621763369543,-0.25129987188754677,0.9326064538036734
98,25,30,20,25,0.15889280706843323,-0.23785000226953312,0.9834809649338176
99,30,30,10,30,0.1536406937407513,-0.265099149422967,0.8807528862785965
100,30,30,15,25,0.1570940262912499,-0.25186267569174847,0.9315882413397448
101,30,30,20,20,0.16039345235929958,-0.23844549605645338,0.9754974930413967
102,35,30,5,30,0.1516230492654751,-0.2787686679039497,0.8268536776276805
103,35,30,10,25,0.15514245255237413,-0.26574433500989925,0.8766508191816931
104,35,30,15,20,0.1585086305597203,-0.2525416637291077,0.9209055620493635
105,35,30,20,15,0.16172019004830318,-0.2391592022647464,0.9577453152943398
106,40,30,5,25,0.15303882286279036,-0.27949286456691347,0.8206827236184582
107,40,30,10,20,0.15647108150734024,-0.2665033968441226,0.8643649519310402
108,40,30,15,15,0.15974940417213945,-0.25333651622860476,0.9020159545333977
