Logic,CAGR (%),MDD (%),Sharpe,Total Switches
SMA 150 Only,13.012847062928179,-25.529021825598463,0.6846794872328933,77
Dual SMA 150/200,13.636707104160362,-25.352540251309318,0.7287353701579924,53
