Date,BIL,GLD,QQQ,SPY,VXUS
2008-01-02,73.68505859375,84.86000061035156,43.41144943237305,103.77828216552734,
2008-01-03,73.6368637084961,85.56999969482422,43.59229278564453,103.7281265258789,
2008-01-04,73.6207504272461,85.12999725341797,41.68049621582031,101.18612670898438,
2008-01-07,73.68505859375,84.7699966430664,41.482418060302734,101.10016632080078,
2008-01-08,73.6368637084961,86.77999877929688,40.405967712402344,99.46759796142578,
2008-01-09,73.58861541748047,86.55000305175781,41.26712417602539,100.51303100585938,
2008-01-10,73.6207504272461,88.25,41.32740783691406,101.17180633544922,
2008-01-11,73.6529312133789,88.58000183105469,40.517906188964844,100.35552978515625,
2008-01-14,73.71721649169922,89.54000091552734,41.224090576171875,101.16465759277344,
2008-01-15,73.7011489868164,87.98999786376953,40.08732604980469,98.9377212524414,
2008-01-16,73.7011489868164,86.69999694824219,39.6567497253418,98.08558654785156,
2008-01-17,73.66899108886719,86.5,39.105613708496094,95.54360961914062,
2008-01-18,73.71721649169922,87.41999816894531,39.05393600463867,94.56259155273438,
2008-01-22,73.74937438964844,88.16999816894531,38.04637908935547,93.60310363769531,
2008-01-23,73.82978057861328,87.88999938964844,37.89997100830078,95.85150909423828,
2008-01-24,73.8619155883789,90.08000183105469,38.67502212524414,96.66065979003906,
2008-01-25,73.78153228759766,90.30000305175781,37.88277053833008,95.26434326171875,
2008-01-28,73.81373596191406,91.75,38.175540924072266,96.83966064453125,
2008-01-29,73.8780288696289,91.1500015258789,38.24443435668945,97.31941223144531,
2008-01-30,73.91016387939453,92.05999755859375,38.209991455078125,96.6033935546875,
2008-01-31,73.91016387939453,91.4000015258789,38.86446762084961,98.36487579345703,
2008-02-01,73.90206909179688,89.3499984741211,39.260623931884766,99.94734191894531,
2008-02-04,73.91818237304688,89.0999984741211,38.70945739746094,98.68706512451172,
2008-02-05,73.86983489990234,87.68000030517578,37.607177734375,96.04485321044922,
2008-02-06,73.9343490600586,88.94999694824219,36.8665885925293,95.2715072631836,
2008-02-07,73.91818237304688,89.8499984741211,37.124916076660156,95.9016342163086,
2008-02-08,73.91818237304688,91.0,37.54689025878906,95.28582000732422,
2008-02-11,73.9343490600586,91.33000183105469,37.9516487121582,95.77275085449219,
2008-02-12,73.91818237304688,89.33000183105469,37.736351013183594,96.66065979003906,
2008-02-13,73.9343490600586,89.44000244140625,38.56306076049805,97.64878845214844,
2008-02-14,73.95042419433594,89.70999908447266,37.86552810668945,96.78955078125,
2008-02-15,73.95042419433594,89.1500015258789,37.736351013183594,96.76807403564453,
2008-02-19,73.95042419433594,91.58000183105469,37.667457580566406,97.04014587402344,
2008-02-20,73.91818237304688,93.23999786376953,37.83967971801758,97.32658386230469,
2008-02-21,73.98271942138672,93.25,37.47801208496094,96.5174331665039,
2008-02-22,73.98271942138672,93.38999938964844,37.61577606201172,97.11177825927734,
2008-02-25,73.95042419433594,92.73999786376953,37.80524444580078,98.33618927001953,
2008-02-26,73.99880981445312,93.70999908447266,37.9516487121582,99.07376861572266,
2008-02-27,74.01492309570312,94.77999877929688,38.14111328125,98.97352600097656,
2008-02-28,74.01492309570312,95.98999786376953,37.99469757080078,98.00684356689453,
2008-02-29,74.03105163574219,96.18000030517578,36.98712921142578,95.8228759765625,
2008-03-03,74.0584716796875,97.23999786376953,36.746009826660156,95.59373474121094,
2008-03-04,74.0584716796875,95.18000030517578,36.952693939208984,95.2285385131836,
2008-03-05,74.04231262207031,97.72000122070312,37.133544921875,95.83002471923828,
2008-03-06,74.07463836669922,96.5,36.315425872802734,93.84654998779297,
2008-03-07,74.07463836669922,96.08999633789062,36.22929763793945,92.87989807128906,
2008-03-10,74.07463836669922,95.87000274658203,35.53175735473633,91.65542602539062,
2008-03-11,74.07463836669922,95.98999786376953,36.88379669189453,94.9493179321289,
2008-03-12,74.09076690673828,97.01000213623047,36.78044509887695,94.06138610839844,
2008-03-13,74.07463836669922,98.33999633789062,37.064632415771484,94.26902770996094,
2008-03-14,74.17156982421875,98.70999908447266,36.384315490722656,92.80825805664062,
2008-03-17,74.1554183959961,99.16999816894531,35.721214294433594,91.87024688720703,
2008-03-18,74.23615264892578,96.5,37.314388275146484,95.68682098388672,
2008-03-19,74.25224304199219,93.04000091552734,36.39292907714844,93.31665802001953,
2008-03-20,74.23615264892578,89.91000366210938,37.136714935302734,95.04512023925781,
2008-03-24,74.17156982421875,90.0999984741211,38.42082595825195,96.94488525390625,
2008-03-25,74.12309265136719,92.7300033569336,38.63631820678711,97.03846740722656,
2008-03-26,74.17156982421875,93.80000305175781,38.52427673339844,95.85108947753906,
2008-03-27,74.18766021728516,93.45999908447266,37.6710319519043,95.54885864257812,
2008-03-28,74.12309265136719,91.87999725341797,37.4814338684082,94.6349868774414,
2008-03-31,74.20384216308594,90.41000366210938,37.67967224121094,94.9659652709961,
2008-04-01,74.15535736083984,86.86000061035156,39.291297912597656,98.30494689941406,
2008-04-02,74.15535736083984,89.2699966430664,39.20512008666992,98.36973571777344,
2008-04-03,74.15535736083984,89.41999816894531,39.291297912597656,98.61436462402344,
2008-04-04,74.18763732910156,90.25,39.52399444580078,98.50642395019531,
2008-04-07,74.15535736083984,91.16999816894531,39.437808990478516,98.55680847167969,
2008-04-08,74.2038345336914,90.3499984741211,39.13616943359375,98.45606994628906,
2008-04-09,74.2038345336914,92.29000091552734,38.69662857055664,97.7436752319336,
2008-04-10,74.2038345336914,91.7699966430664,39.248207092285156,97.88037872314453,
2008-04-11,74.2038345336914,91.30000305175781,38.16228103637695,95.98062896728516,
