Strategy,CAGR (%),MDD (%),Sharpe,Trades
SMA 150 (Pure),12.072604665743714,-15.63767777504468,1.1265629163693403,20
SMA 150 + VIX>30,12.072604665743714,-15.63767777504468,1.1265629163693403,20
SMA 150 + VIX>35,12.072604665743714,-15.63767777504468,1.1265629163693403,20
Optimized Hybrid,10.50615737946008,-16.181228931385437,1.0182254415841687,32
