,Window,CAGR,MDD,Sharpe
0,21d,0.15420482953230596,-0.21955686197864943,0.921093845659838
1,42d,0.15326489905412077,-0.219556861978649,0.9166862778764994
2,63d,0.16237076999669187,-0.21955686197864932,0.9898040162620587
3,84d,0.1632462148968905,-0.21955686197864877,0.9961055962677541
4,105d,0.15523350720252682,-0.22778029593417548,0.932854001540884
5,126d,0.16521985961148378,-0.21955686197864943,0.9973937038102815
6,147d,0.1635315441316214,-0.22617363738775265,0.9837200377627529
7,168d,0.167957300897142,-0.2195568619786492,1.0281393502985796
8,189d,0.1530211037705902,-0.24483378695047509,0.8977173495140757
9,210d,0.1526242918722971,-0.26021773879995114,0.8655130978875168
10,231d,0.16321329147316477,-0.24483378695047486,0.950136373419875
11,252d,0.1631868114958921,-0.2277802959341758,0.9594356921646087
