,GLD_Weight,SPY_Weight,CAGR,MDD,Sharpe
0,0,45,0.15265452935969082,-0.30070338245620964,0.732965856488726
1,5,40,0.15496265692192512,-0.287435953576921,0.7831639181830867
2,10,35,0.15711947269327142,-0.27404219095964544,0.8335646455146741
3,15,30,0.15912415886032938,-0.2614846865030823,0.8829352882813394
4,20,25,0.16097595348979854,-0.25264828885813917,0.9296906626806858
5,25,20,0.16267415096827653,-0.24382072085263817,0.9719492625039632
6,30,15,0.16421810240904322,-0.23500472544030648,1.0076812653320057
7,35,10,0.16560721602554684,-0.22620308287968782,1.0349515162849379
8,40,5,0.1668409574712566,-0.21741861009173968,1.0522199193202548
9,45,0,0.16791885014565788,-0.2086541599903493,1.058619409667162
