Date,BIL,GLD,KS200,QQQ,SCHD,SPY,SWAN,VXUS
2018-01-02,75.28858947753906,125.1500015258789,,150.4115447998047,13.001941680908203,237.20823669433594,,44.8478889465332
2018-01-03,75.3050308227539,124.81999969482422,,151.87306213378906,13.039936065673828,238.7086181640625,,45.1605339050293
2018-01-04,75.31327056884766,125.45999908447266,,152.1387939453125,13.103263854980469,239.71469116210938,,45.53569412231445
2018-01-05,75.31327056884766,125.33000183105469,,153.66671752929688,13.184321403503418,241.31216430664062,,45.840518951416016
2018-01-08,75.32150268554688,125.30999755859375,,154.2646484375,13.212181091308594,241.7534942626953,,45.81707763671875
2018-01-09,75.32150268554688,124.7300033569336,,154.27413940429688,13.214715957641602,242.30056762695312,,45.85615158081055
2018-01-10,75.32150268554688,125.02999877929688,,153.91343688964844,13.176722526550293,241.92991638183594,,45.699825286865234
2018-01-11,75.31327056884766,125.44000244140625,,154.96690368652344,13.270445823669434,243.6951446533203,,45.98902893066406
2018-01-12,75.33799743652344,126.95999908447266,,156.1057586669922,13.346430778503418,245.28369140625,,46.43452835083008
2018-01-16,75.32150268554688,127.16999816894531,,155.6597137451172,13.323636054992676,244.4452667236328,,46.38763427734375
2018-01-17,75.33799743652344,126.13999938964844,,157.3394317626953,13.523743629455566,246.7752685546875,,46.70808792114258
2018-01-18,75.33799743652344,125.86000061035156,,157.36793518066406,13.485748291015625,246.3604736328125,,46.653377532958984
2018-01-19,75.34626007080078,126.41999816894531,,157.86141967773438,13.528810501098633,247.48138427734375,,46.864402770996094
2018-01-22,75.35444641113281,126.6500015258789,,159.55068969726562,13.637730598449707,249.4936981201172,,47.12233352661133
2018-01-23,75.35444641113281,127.27999877929688,,160.869873046875,13.604801177978516,250.0231170654297,,47.30992126464844
2018-01-24,75.3626708984375,128.8300018310547,,159.82594299316406,13.571874618530273,249.92605590820312,,47.513126373291016
2018-01-25,75.3626708984375,127.97000122070312,,159.76895141601562,13.5946683883667,250.031982421875,,47.341182708740234
2018-01-26,75.379150390625,128.07000732421875,,162.21751403808594,13.825174331665039,252.92681884765625,,47.81014633178711
2018-01-29,75.3626708984375,127.3499984741211,,161.42974853515625,13.726385116577148,251.2498779296875,,47.31772994995117
2018-01-30,75.37091827392578,126.80000305175781,,160.10118103027344,13.551605224609375,248.67286682128906,,46.872230529785156
2018-01-31,75.379150390625,127.6500015258789,,160.76544189453125,13.551605224609375,248.79638671875,,46.94256591796875
2018-02-01,75.37584686279297,128.07000732421875,,159.3988800048828,13.508546829223633,248.5138397216797,,46.90348815917969
2018-02-02,75.38410186767578,126.38999938964844,,156.21958923339844,13.214715957641602,243.10377502441406,,45.87959671020508
2018-02-05,75.37584686279297,126.70999908447266,,150.06040954589844,12.639720916748047,232.9365997314453,,44.035030364990234
2018-02-06,75.38410186767578,125.37999725341797,,154.036865234375,12.852492332458496,237.5259246826172,,45.09800720214844
2018-02-07,75.3923110961914,124.79000091552734,,152.04393005371094,12.82463264465332,236.2373809814453,,44.28514862060547
2018-02-08,75.38410186767578,124.9800033569336,,145.62844848632812,12.356027603149414,227.37640380859375,,43.065853118896484
2018-02-09,75.40057373046875,124.7699966430664,,148.1433868408203,12.523204803466797,230.79193115234375,,43.472286224365234
2018-02-12,75.40057373046875,125.37000274658203,,150.77223205566406,12.695446968078613,234.18099975585938,,44.08193588256836
2018-02-13,75.40057373046875,126.08000183105469,,151.55035400390625,12.705584526062012,234.76356506347656,,44.08193588256836
2018-02-14,75.40057373046875,128.22999572753906,,154.38800048828125,12.77904224395752,237.931884765625,,44.871334075927734
2018-02-15,75.4088134765625,128.3800048828125,,157.2540283203125,12.928486824035645,240.96792602539062,,45.26994705200195
2018-02-16,75.4170913696289,127.95999908447266,,156.55177307128906,12.943683624267578,241.03858947753906,,45.33248519897461
2018-02-20,75.4170913696289,126.23999786376953,,156.86495971679688,12.791702270507812,239.5294189453125,,44.84006881713867
2018-02-21,75.4088134765625,125.66000366210938,,156.41891479492188,12.677717208862305,238.33787536621094,,44.73065185546875
2018-02-22,75.4170913696289,126.30000305175781,,156.39991760253906,12.728377342224121,238.64682006835938,,44.93387222290039
2018-02-23,75.43355560302734,126.13999938964844,,159.59814453125,12.910755157470703,242.45071411132812,,45.42627716064453
2018-02-26,75.4170913696289,126.44999694824219,,161.71449279785156,13.088067054748535,245.26609802246094,,45.770179748535156
2018-02-27,75.43355560302734,125.12999725341797,,159.71200561523438,12.953815460205078,242.2035369873047,,44.98857498168945
2018-02-28,75.44178771972656,125.0,,158.68707275390625,12.789168357849121,239.75001525878906,,44.48054504394531
2018-03-01,75.44920349121094,124.72000122070312,,156.09622192382812,12.632123947143555,236.2638397216797,,44.01939392089844
2018-03-02,75.45748901367188,125.38999938964844,,157.52926635742188,12.670119285583496,237.4818572998047,,44.144466400146484
2018-03-05,75.45748901367188,125.18000030517578,,159.2755126953125,12.801836967468262,240.22659301757812,,44.32422637939453
2018-03-06,75.45748901367188,126.52999877929688,,159.9492645263672,12.811969757080078,240.83558654785156,,44.66030502319336
2018-03-07,75.45748901367188,125.72000122070312,,160.3194580078125,12.784104347229004,240.7473602294922,,44.613426208496094
2018-03-08,75.44920349121094,125.41999816894531,,161.20204162597656,12.837298393249512,241.91229248046875,,44.70720291137695
2018-03-09,75.46575164794922,125.54000091552734,,164.33380126953125,13.019675254821777,246.1221923828125,,45.12926483154297
2018-03-12,75.47396850585938,125.54000091552734,,165.20687866210938,12.94621753692627,245.8133544921875,,45.20743942260742
2018-03-13,75.47396850585938,125.77999877929688,,162.95777893066406,12.895556449890137,244.2246551513672,,44.8869743347168
2018-03-14,75.47396850585938,125.69999694824219,,162.92926025390625,12.776507377624512,242.97145080566406,,45.004215240478516
2018-03-15,75.46575164794922,124.9000015258789,,162.786865234375,12.781572341918945,242.70663452148438,,44.941688537597656
2018-03-16,75.48224639892578,124.5999984741211,,162.30287170410156,12.83045768737793,242.96986389160156,,44.855716705322266
2018-03-19,75.48224639892578,124.87000274658203,,158.83999633789062,12.672595024108887,239.682373046875,,44.46491622924805
2018-03-20,75.47396850585938,124.30999755859375,,159.36279296875,12.675137519836426,240.08998107910156,,44.6056022644043
2018-03-21,75.490478515625,126.4800033569336,,158.6688690185547,12.629308700561523,239.629150390625,,44.73065185546875
2018-03-22,75.49871826171875,125.9800033569336,,154.7525634765625,12.3543119430542,233.63917541503906,,43.76148223876953
