Strategy,CAGR (%),MDD (%),Sharpe
SPY (B&H),16.652108869978342,-33.71727560591252,0.6514655778367344
Fixed Defense (BIL),18.303795073689,-23.228988968331333,1.1219382303625542
Fixed Defense (SWAN),16.705825605271542,-27.582263613997814,0.8801942862349996
Dynamic Ensemble,18.713490701707446,-25.52900607858518,1.0546047391893032
