Strategy,CAGR (%),MDD (%),Vol (%),Sharpe,Trades
Portfolio (Static QQQ),9.719913356977528,-21.50760614940942,11.936786607315891,0.8373607346470459,0
Portfolio (SMA 150),12.072604665743714,-15.63767777504468,10.627307945554495,1.1265629163693403,20
Portfolio (Original Fusion),7.821026596176228,-24.116128664778593,11.268404334714218,0.7251329720154821,44
Portfolio (Optimized Hybrid),10.50615737946008,-16.181228931385437,10.34535733536556,1.0182254415841685,32
