Date,BTAL,GLD,QQQ,SPY,VXUS
2011-01-03,,138.0,48.513919830322266,97.19290161132812,
2011-01-04,,134.75,48.478843688964844,97.13932037353516,
2011-01-05,,134.3699951171875,48.89107894897461,97.64423370361328,
2011-01-06,,133.8300018310547,49.04896926879883,97.4529800415039,
2011-01-07,,133.5800018310547,49.005104064941406,97.26174926757812,
2011-01-10,,134.1199951171875,49.189300537109375,97.13932037353516,
2011-01-11,,134.91000366210938,49.25948715209961,97.48358154296875,
2011-01-12,,135.4600067138672,49.610328674316406,98.36331176757812,
2011-01-13,,134.0500030517578,49.627872467041016,98.20267486572266,
2011-01-14,,132.69000244140625,49.99625778198242,98.91410064697266,
2011-01-18,,133.42999267578125,50.13661193847656,99.08245086669922,
2011-01-19,,133.72000122070312,49.56645965576172,98.11087799072266,
2011-01-20,,131.1999969482422,49.21561813354492,97.98084259033203,
2011-01-21,,131.02999877929688,48.83844757080078,98.20267486572266,
2011-01-24,,130.36000061035156,49.513824462890625,98.76115417480469,
2011-01-25,,130.10000610351562,49.58401107788086,98.81465911865234,
2011-01-26,,131.16000366210938,49.8471565246582,99.19720458984375,
2011-01-27,,127.93000030517578,50.154144287109375,99.44198608398438,
2011-01-28,,130.27999877929688,48.8823127746582,97.7054443359375,31.323867797851562
2011-01-31,,129.8699951171875,49.11913299560547,98.43984985351562,31.673114776611328
2011-02-01,,130.8000030517578,50.040122985839844,100.01573181152344,32.35253143310547
2011-02-02,,130.4499969482422,49.96116256713867,99.82450866699219,32.18743133544922
2011-02-03,,132.1999969482422,50.04888916015625,100.04631042480469,32.24460220336914
2011-02-04,,131.66000366210938,50.32957458496094,100.32936096191406,32.22553634643555
2011-02-07,,131.67999267578125,50.5663948059082,100.9566650390625,32.31443405151367
2011-02-08,,133.13999938964844,50.89970779418945,101.41568756103516,32.365257263183594
2011-02-09,,133.07000732421875,50.81199645996094,101.18614959716797,32.16840362548828
2011-02-10,,132.85000610351562,50.89092254638672,101.22440338134766,31.869962692260742
2011-02-11,,132.32000732421875,51.25931167602539,101.82878112792969,31.99059295654297
2011-02-14,,132.9499969482422,51.38212203979492,102.07354736328125,32.066802978515625
2011-02-15,,133.97000122070312,51.31195831298828,101.75228118896484,31.965200424194336
2011-02-16,,134.10000610351562,51.64527130126953,102.39483642578125,32.365257263183594
2011-02-17,,135.0399932861328,51.62772750854492,102.70085906982422,32.49857711791992
2011-02-18,,135.41000366210938,51.51369857788086,102.91506958007812,32.55573654174805
2011-02-22,,136.2899932861328,50.0225830078125,100.84954833984375,31.74295997619629
2011-02-23,,137.50999450683594,49.610328674316406,100.22992706298828,31.711206436157227
2011-02-24,,136.47999572753906,49.87347412109375,100.16107940673828,31.755647659301758
2011-02-25,,137.3800048828125,50.5663948059082,101.23206329345703,32.11759948730469
2011-02-28,,137.66000366210938,50.67166519165039,101.85936737060547,32.40969467163086
2011-03-01,,140.02999877929688,49.85591506958008,100.16107940673828,32.0413932800293
2011-03-02,,139.9199981689453,50.119056701660156,100.37528228759766,32.276344299316406
2011-03-03,,138.08999633789062,51.11021041870117,102.10414123535156,32.6509895324707
2011-03-04,,139.35000610351562,50.84708023071289,101.3392105102539,32.43509292602539
2011-03-07,,139.72000122070312,50.16292953491211,100.54356384277344,32.21918869018555
2011-03-08,,139.36000061035156,50.36465072631836,101.4233169555664,32.33350372314453
2011-03-09,,139.41000366210938,50.0225830078125,101.27793884277344,32.29539489746094
2011-03-10,,137.77000427246094,49.241947174072266,99.40372467041016,31.495315551757812
2011-03-11,,138.22000122070312,49.5489387512207,100.09221649169922,31.609621047973633
2011-03-14,,138.86000061035156,49.37350845336914,99.48786926269531,31.152420043945312
2011-03-15,,136.27000427246094,48.67180252075195,98.34801483154297,30.606334686279297
2011-03-16,,136.24000549316406,47.496463775634766,96.52735137939453,29.75544548034668
2011-03-17,,136.97000122070312,47.93500900268555,97.80486297607422,30.517440795898438
2011-03-18,,138.3699951171875,47.826969146728516,98.16059875488281,30.98733139038086
2011-03-21,,139.13999938964844,48.749267578125,99.681884765625,31.654069900512695
2011-03-22,,139.0500030517578,48.66141891479492,99.33611297607422,31.577871322631836
2011-03-23,,140.33999633789062,48.93372344970703,99.62042236328125,31.717561721801758
2011-03-24,,139.22000122070312,49.80329132080078,100.57312774658203,32.035057067871094
2011-03-25,,139.25999450683594,49.92626190185547,100.88044738769531,31.831867218017578
2011-03-28,,138.5399932861328,49.65397644042969,100.63460540771484,31.685823440551758
2011-03-29,,138.2100067138672,50.1370849609375,101.31074523925781,31.93979835510254
2011-03-30,,138.6699981689453,50.37423324584961,102.00989532470703,32.365257263183594
2011-03-31,,139.86000061035156,50.44449234008789,101.87158966064453,32.32714080810547
2011-04-01,,139.1999969482422,50.470855712890625,102.30184936523438,32.61288833618164
2011-04-04,,139.83999633789062,50.303977966308594,102.38640594482422,32.784324645996094
2011-04-05,,142.0500030517578,50.17221450805664,102.37101745605469,32.65732955932617
2011-04-06,,142.3800048828125,50.29517364501953,102.69371032714844,32.89863967895508
2011-04-07,,142.50999450683594,50.260047912597656,102.43248748779297,32.73353576660156
2011-04-08,,143.66000366210938,50.02288818359375,102.07904815673828,32.98116683959961
2011-04-11,,142.63999938964844,49.85599899291992,101.77172088623047,32.77798843383789
2011-04-12,,141.61000061035156,49.51344299316406,101.0111083984375,32.46684646606445
2011-04-13,,141.89999389648438,49.9350471496582,101.0033950805664,32.600181579589844
2011-04-14,,143.80999755859375,49.84722137451172,101.08020782470703,32.6763916015625
