,CAGR,MDD,Sharpe,Volatility
Ensemble Strategy,0.1485506217322463,-0.22442615024147716,0.8474392440057299,0.1280925122362074
DIVO Strategy,0.15236897453187237,-0.29543495305580114,0.7590029595220447,0.1480481375232486
Buy & Hold QQQ,0.18649550952536975,-0.3511872843974517,0.6202021916880401,0.23620604939599527
