,CAGR (%),MDD (%),Sharpe
Strategy (SWAN Def),16.718146393895594,-26.694187696351634,1.1169980650957907
Orig Port (BIL Def),16.553769789225335,-27.30986532293559,1.2579743850972194
SPY Market,15.817596230957488,-33.71727881133979,0.8318791731070669
B&H (New Port),19.247655518052852,-28.307399712110037,1.1303793561798066
