,CAGR (%),MDD (%),Sharpe,Total Trades
SMA 150,16.90873986827519,-21.31403019298127,1.286291696381519,20.0
SMA 185,17.718387294293247,-19.39209272610267,1.3406686308100668,14.0
Original Fusion,17.272092478283763,-23.882036439964594,1.2151166972437137,44.0
Optimized Hybrid,17.9918244897036,-18.350567962928476,1.3599812702551635,32.0
