Date,SPY,QQQ,SCHD,KS200,GLD,VIX,BIL,MBB,XLU,JEPI
2008-01-02,103.77824401855469,43.411441802978516,,235.3000030517578,84.86000061035156,23.170000076293945,73.68507385253906,61.04117202758789,11.182666778564453,
2008-01-03,103.72813415527344,43.59229278564453,,234.6699981689453,85.56999969482422,22.489999771118164,73.63683319091797,61.07099914550781,11.166722297668457,
2008-01-04,101.18611145019531,41.68048858642578,,235.77000427246094,85.12999725341797,23.940000534057617,73.62075805664062,61.1246452331543,11.251744270324707,
2008-01-07,101.10020446777344,41.4824333190918,,231.0,84.7699966430664,23.790000915527344,73.68507385253906,61.33927536010742,11.485541343688965,
2008-01-08,99.46762084960938,40.40595626831055,,230.33999633789062,86.77999877929688,25.43000030517578,73.63683319091797,61.23194885253906,11.488201141357422,
2008-01-09,100.51301574707031,41.267147064208984,,232.52999877929688,86.55000305175781,24.1200008392334,73.58860778808594,61.28562927246094,11.613072395324707,
2008-01-10,101.17181396484375,41.327423095703125,,229.47000122070312,88.25,23.450000762939453,73.62075805664062,61.172340393066406,11.541333198547363,
2008-01-11,100.35551452636719,40.517921447753906,,224.41000366210938,88.58000183105469,23.68000030517578,73.65293884277344,61.49423599243164,11.538683891296387,
2008-01-14,101.1646499633789,41.22407913208008,,222.80999755859375,89.54000091552734,22.899999618530273,73.71721649169922,61.46450424194336,11.554621696472168,
2008-01-15,98.9377212524414,40.08733367919922,,220.91000366210938,87.98999786376953,23.34000015258789,73.70116424560547,61.67910385131836,11.432409286499023,
2008-01-16,98.08560180664062,39.656742095947266,,215.8699951171875,86.69999694824219,24.3799991607666,73.70116424560547,61.3869514465332,11.227831840515137,
2008-01-17,95.54358673095703,39.10561752319336,,218.8300018310547,86.5,28.459999084472656,73.66898345947266,61.63139343261719,10.79476547241211,
2008-01-18,94.56261444091797,39.05393600463867,,219.8699951171875,87.41999816894531,27.18000030517578,73.71721649169922,61.53007507324219,10.635354995727539,
