Date,Open,High,Low,Close,Volume
1994-10-20,8.48255304336548,8.589655985832215,8.48255304336548,8.568235397338867,438400.0
1994-10-21,8.568232971944926,8.675335884094238,8.568232971944926,8.675335884094238,706400.0
1994-10-24,8.696757316589355,8.84670140825469,8.675336732065736,8.696757316589355,1462000.0
1994-10-25,8.718177901112975,8.761019070160213,8.632495563018498,8.696757316589355,1424800.0
1994-10-26,8.761018005577293,8.761018005577293,8.696756259815112,8.71817684173584,223200.0
1994-10-27,8.739596266618276,8.782437424787974,8.739596266618276,8.761016845703125,424800.0
1994-10-28,8.761019281844538,8.889542792091646,8.761019281844538,8.846701622009277,1236400.0
1994-10-31,8.868122745962703,8.868122745962703,8.718178641562368,8.739599227905273,951600.0
1994-11-01,8.739604231240092,8.889548421481956,8.739604231240092,8.868127822875977,849600.0
1994-11-02,8.868123272090282,8.99664679777275,8.803861509249048,8.825282096862793,858800.0
1994-11-03,8.846700877168752,8.846700877168752,8.782439127455662,8.80385971069336,606400.0
1994-11-04,8.739599227905273,8.803860986933989,8.739599227905273,8.739599227905273,586400.0
1994-11-07,8.761020334021559,8.846702684476538,8.739599746407814,8.825282096862793,652400.0
1994-11-08,8.82527858295767,8.82527858295767,8.739596266618276,8.761016845703125,548400.0
1994-11-09,8.80386023920745,8.80386023920745,8.632495563018498,8.696757316589355,440000.0
1994-11-10,8.6967564665241,8.718177048953963,8.611074136804652,8.675335884094238,918000.0
1994-11-11,8.632495773900853,8.696757529041555,8.632495773900853,8.653916358947754,360400.0
1994-11-14,8.718178641562368,8.739599227905273,8.675337468876558,8.739599227905273,411200.0
1994-11-15,8.718177048953963,8.739597631383825,8.589653554374788,8.675335884094238,549600.0
1994-11-16,8.71817929471903,8.71817929471903,8.568235179085043,8.611076354980469,543200.0
1994-11-17,8.653920523246327,8.675341118600898,8.589658737182617,8.589658737182617,1445200.0
1994-11-18,8.589655985832215,8.718179516792299,8.568235397338867,8.568235397338867,1557600.0
1994-11-21,8.611072942839197,8.632493522298995,8.503970045540202,8.525390625,410800.0
1994-11-22,8.546816956261846,8.546816956261846,7.968460921627586,7.98988151550293,1062800.0
1994-11-23,8.032717202839098,8.182661257292095,8.032717202839098,8.139820098876953,1044000.0
1994-11-25,8.182660200464444,8.225501353346457,8.139819047582431,8.161239624023438,119600.0
1994-11-28,8.139825251195337,8.268348807793158,8.139825251195337,8.246928215026855,916000.0
1994-11-29,8.204087372225617,8.268349153209106,8.139825591242126,8.182666778564453,1027600.0
1994-11-30,8.182662634139366,8.268344965386898,8.054139137268066,8.054139137268066,1341600.0
1994-12-01,8.09698136150837,8.289766632020473,8.09698136150837,8.225504875183105,783200.0
1994-12-02,8.182660083381498,8.396865844726562,8.182660083381498,8.396865844726562,510400.0
1994-12-05,8.414129540133658,8.50042830464785,8.39255484900511,8.435704231262207,1013200.0
1994-12-06,8.457278818043356,8.565152272355133,8.457278818043356,8.500428199768066,1234000.0
1994-12-07,8.500428096473367,8.565152168273926,8.500428096473367,8.565152168273926,726000.0
1994-12-08,8.543574041052711,8.60829808681826,8.47884999528716,8.52199935913086,634400.0
1994-12-09,8.50043006522403,8.50043006522403,8.349407196044922,8.349407196044922,1305200.0
1994-12-12,8.349407196044922,8.435705978432983,8.327832500447908,8.349407196044922,501600.0
1994-12-13,8.457276546593867,8.543575286865234,8.435701861526026,8.543575286865234,694800.0
1994-12-14,8.543574041052711,8.543574041052711,8.45727531336531,8.52199935913086,449600.0
1994-12-15,8.522002995776397,8.565152378033494,8.414129540133658,8.435704231262207,763200.0
1994-12-16,8.522002787073554,8.565152168273926,8.500428096473367,8.565152168273926,1050400.0
1994-12-19,8.543576810827208,8.586726188659668,8.500427432994748,8.586726188659668,532000.0
1994-12-20,8.565150172710418,8.716172971725463,8.565150172710418,8.629874229431152,782800.0
1994-12-21,8.673027713994433,8.759326497218257,8.651453018188477,8.651453018188477,538400.0
1994-12-22,8.651447878286206,8.694597244262695,8.54357446334498,8.694597244262695,858400.0
1994-12-23,8.780903405811063,8.780903405811063,8.65145519835439,8.673029899597168,397600.0
1994-12-27,8.69460000428073,8.759324073791504,8.673025314443805,8.759324073791504,510400.0
1994-12-28,8.759322832837517,8.759322832837517,8.694598772496352,8.737748146057129,427600.0
1994-12-29,8.71617603302002,8.73775072617106,8.69460133986898,8.71617603302002,520800.0
1994-12-30,8.71617192725094,8.75932129322743,8.694597244262695,8.694597244262695,448000.0
1995-01-03,8.716172767407965,8.716172767407965,8.50042591672955,8.543575286865234,643200.0
1995-01-04,8.586726188659668,8.608300877575898,8.500427432994748,8.586726188659668,554000.0
1995-01-05,8.586724657000916,8.608299342068758,8.392552491390344,8.543575286865234,587200.0
1995-01-06,8.478855451740825,8.651453018188477,8.478855451740825,8.651453018188477,443600.0
1995-01-09,8.586727465945835,8.608302158071327,8.392555236816406,8.392555236816406,538400.0
1995-01-10,8.435702896603495,8.50042695974879,8.435702896603495,8.478852272033691,964000.0
1995-01-11,8.522000601797393,8.565149971933076,8.478851231661709,8.543575286865234,488000.0
1995-01-12,8.565151499743438,8.608300877575898,8.565151499743438,8.586726188659668,392800.0
1995-01-13,8.586726858874112,8.608301549474298,8.54357747767374,8.565152168273926,401200.0
1995-01-16,8.565150172710418,8.694598286151885,8.565150172710418,8.629874229431152,369600.0
1995-01-17,8.629874229431152,8.673023600578308,8.586724858283995,8.629874229431152,1172400.0
1995-01-18,8.673022769300006,8.824045553840056,8.651448085794286,8.780896186828613,667600.0
1995-01-19,8.759324073791504,8.82404814330228,8.73774938395458,8.759324073791504,820000.0
1995-01-20,8.759326497218257,8.759326497218257,8.608303626576564,8.651453018188477,689600.0
1995-01-23,8.651449398935577,8.737748146057129,8.52200127825325,8.737748146057129,776000.0
1995-01-24,8.759322832837517,8.780897519617906,8.737748146057129,8.737748146057129,496800.0
1995-01-25,8.780901510150043,8.867200296490584,8.759326813564908,8.824050903320312,602800.0
1995-01-26,8.824046904782215,8.953495025634766,8.824046904782215,8.953495025634766,930000.0
1995-01-27,8.910348892211914,9.018222365483245,8.910348892211914,8.910348892211914,501600.0
1995-01-30,8.888767971712,8.91034265125499,8.802469253540039,8.802469253540039,463600.0
1995-01-31,8.780900724286317,8.910348892211914,8.759326029632051,8.910348892211914,490000.0
1995-02-01,8.99664613626299,8.99664613626299,8.86719799041748,8.86719799041748,556800.0
1995-02-02,8.888770590583198,8.996644020080566,8.802471846985302,8.996644020080566,765200.0
1995-02-03,9.018221744165851,9.104520516837294,8.99664705099799,9.082945823669434,635600.0
1995-02-06,9.082946498053415,9.104521192823137,9.03979710851397,9.061371803283691,370800.0
1995-02-07,9.08294689598266,9.104521591697583,8.975073417408044,9.01822280883789,468400.0
1995-02-08,9.018219086061041,9.061368459678558,8.953495025634766,8.953495025634766,515200.0
1995-02-09,8.996643644528628,9.061367699525237,8.996643644528628,9.039793014526367,548000.0
1995-02-10,9.082942384524106,9.082942384524106,9.018218329527498,9.039793014526367,427600.0
1995-02-13,9.039792141089073,9.039792141089073,8.975068092346191,8.975068092346191,323200.0
1995-02-14,9.018215702498777,9.126089096069336,8.95349166635644,9.126089096069336,655600.0
1995-02-15,9.147670629711284,9.32026818876244,9.104521239948495,9.212394714355469,551200.0
1995-02-16,9.255544503155877,9.298693894778982,9.126096328286565,9.169245719909668,332800.0
1995-02-17,9.233967395161473,9.277116775512695,9.16924332463464,9.277116775512695,596000.0
1995-02-21,9.277115535069179,9.298690222360037,9.190816785905744,9.25554084777832,687200.0
1995-02-22,9.277116854076255,9.492863757659423,9.23396747335962,9.428139686584473,869600.0
1995-02-23,9.428145947380326,9.49287006143557,9.406571242695247,9.471295356750488,1185200.0
1995-02-24,9.471290307502224,9.471290307502224,9.406566227952096,9.449715614318848,653600.0
1995-02-27,9.449716123091982,9.449716123091982,9.27711856833231,9.341842651367188,1018000.0
1995-02-28,9.298692762035213,9.471290307502224,9.298692762035213,9.449715614318848,366400.0
1995-03-01,9.471289067301106,9.536013138376056,9.406564996226155,9.428139686584473,287200.0
1995-03-02,9.428140750129101,9.449715442921159,9.36341667175293,9.36341667175293,130000.0
1995-03-03,9.341837298842428,9.341837298842428,9.255538570908548,9.298687934875488,327200.0
1995-03-06,9.301299738329512,9.34476375579834,9.170907685923023,9.34476375579834,497600.0
1995-03-07,9.366494463083331,9.366494463083331,9.214370423079657,9.257834434509277,431600.0
1995-03-08,9.301301002502441,9.366497037566711,9.257836979126262,9.301301002502441,305600.0
1995-03-09,9.301302898787569,9.388230963262219,9.301302898787569,9.366498947143555,384000.0
1995-03-10,9.388228113100238,9.518620170226631,9.366496103579173,9.496888160705566,387600.0
1995-03-13,9.496888169375332,9.605548217079855,9.496888169375332,9.562084197998047,652800.0
1995-03-14,9.605548538588613,9.605548538588613,9.518620497515412,9.583816528320312,258800.0
1995-03-15,9.540348611496112,9.562080612889043,9.344760598959745,9.388224601745605,591200.0
1995-03-16,9.366498947143555,9.366498947143555,9.301302898787569,9.366498947143555,1292400.0
1995-03-17,9.388224601745605,9.409956603138534,9.344760598959745,9.388224601745605,955600.0
1995-03-20,9.409960122621305,9.518620170226631,9.388228113100238,9.496888160705566,229600.0
1995-03-21,9.453418540093484,9.627274513244629,9.453418540093484,9.627274513244629,789600.0
1995-03-22,9.605548217079855,9.605548217079855,9.540352188457142,9.562084197998047,669200.0
1995-03-23,9.562085790371677,9.562085790371677,9.453425724571998,9.475157737731934,505600.0
1995-03-24,9.518614530025163,9.627274513244629,9.518614530025163,9.627274513244629,597200.0
1995-03-27,9.62727609047523,9.670740090883696,9.583812090066763,9.605544090270996,740800.0
1995-03-28,9.518619858865586,9.583815885296172,9.518619858865586,9.540351867675781,464800.0
1995-03-29,9.562087978482781,9.779408159811934,9.562087978482781,9.692480087280273,999600.0
1995-03-30,9.757668855174488,9.93152487041145,9.757668855174488,9.844596862792969,534000.0
1995-03-31,9.801132858983728,9.93152487041145,9.735936853269868,9.844596862792969,455200.0
1995-04-03,9.801137289114758,9.86633332429734,9.77940527738723,9.822869300842285,560400.0
1995-04-04,9.822868056919264,9.996724128723145,9.801136047943778,9.996724128723145,464800.0
1995-04-05,9.953258493444423,9.953258493444423,9.822866460779212,9.888062477111816,641200.0
1995-04-06,9.953260110772174,9.996724128723145,9.888064083845718,9.996724128723145,370400.0
1995-04-07,9.953256020814308,10.040184020996094,9.909792020723417,10.040184020996094,465600.0
1995-04-10,10.040187527393474,10.083651542663574,9.996723512123372,10.083651542663574,498000.0
1995-04-11,10.083650526109633,10.083650526109633,9.866330471667615,9.888062477111816,434000.0
1995-04-12,9.844599076755296,9.844599076755296,9.779403056379433,9.801135063171387,304400.0
1995-04-13,9.822867378625679,9.822867378625679,9.735939348726337,9.757671356201172,424800.0
1995-04-17,9.822863288913004,9.974987277900595,9.822863288913004,9.866327285766602,588800.0
1995-04-18,9.888062477111816,9.909794482556018,9.844598466223413,9.888062477111816,341200.0
1995-04-19,9.8880592841934,9.8880592841934,9.822863288913004,9.866327285766602,274000.0
1995-04-20,9.822863288913004,9.9097912826202,9.790265291272807,9.866327285766602,340800.0
1995-04-21,9.909791324540352,10.040183315652726,9.888059326021624,9.931523323059082,522000.0
1995-04-24,9.95326327243234,10.01845932006836,9.909799240674994,10.01845932006836,255600.0
1995-04-25,10.018454857121887,10.018454857121887,9.974990844726562,9.974990844726562,238400.0
1995-04-26,9.974990844726562,10.018454857121887,9.974990844726562,9.974990844726562,188000.0
1995-04-27,9.931523323059082,9.996719318615268,9.866327327502894,9.931523323059082,394800.0
1995-04-28,9.822862056263707,9.9315220347622,9.822862056263707,9.9097900390625,412800.0
1995-05-01,9.888065336024868,9.93152935947992,9.757673265659704,9.822869300842285,624000.0
1995-05-02,9.822867702907986,9.822867702907986,9.757671678331162,9.779403686523438,472800.0
1995-05-03,9.801139161281627,10.040191335947034,9.779407145402955,10.01845932006836,952000.0
1995-05-04,10.040186863319548,10.061918869517209,9.909794826133579,9.974990844726562,878400.0
1995-05-05,10.018450017560992,10.018450017560992,9.801130060564008,9.9097900390625,322400.0
1995-05-08,9.866327327502894,9.97498732009654,9.866327327502894,9.931523323059082,310400.0
1995-05-09,9.97499023915367,10.061918258666992,9.801134200127027,10.061918258666992,782000.0
1995-05-10,10.040184020996094,10.105380021132431,10.018452020950647,10.040184020996094,551200.0
1995-05-11,10.083648021086985,10.083648021086985,9.931524020768864,10.040184020996094,344000.0
1995-05-12,10.040186863319548,10.061918869517209,9.953258838528901,9.974990844726562,362800.0
1995-05-15,9.974990899746235,10.170578956604004,9.953258893428705,10.170578956604004,314800.0
1995-05-16,10.214042683736468,10.387898729417088,10.19231067802639,10.2792387008667,897200.0
1995-05-17,10.279238680575757,10.322702691910115,10.19231065790704,10.214042663574219,2000000.0
1995-05-18,10.08365536770438,10.148851415340399,10.01845932006836,10.01845932006836,474000.0
1995-05-19,10.01845424891033,10.061918258666992,9.97499023915367,10.061918258666992,524800.0
1995-05-22,10.105382937651415,10.170578956604004,10.105382937651415,10.170578956604004,266400.0
1995-05-23,10.19231288644332,10.300972938537598,10.148848865605608,10.300972938537598,774000.0
1995-05-24,10.279241238575755,10.300973249650967,10.083653138898837,10.192313194274902,409200.0
1995-05-25,10.214042683736468,10.344434717996933,10.127114660896156,10.2792387008667,557600.0
1995-05-26,10.257506695156621,10.300970706576777,10.214042683736468,10.2792387008667,416400.0
1995-05-30,10.257510811027991,10.387902897608855,10.257510811027991,10.366170883178711,394000.0
