Date,JEPI
2020-05-21,30.789997100830078
2020-05-22,30.888029098510742
2020-05-26,30.976818084716797
2020-05-27,31.216672897338867
2020-05-28,31.53297996520996
2020-05-29,31.566287994384766
2020-06-01,31.550251007080078
2020-06-02,31.586647033691406
2020-06-03,31.71735954284668
2020-06-04,31.534223556518555
2020-06-05,31.705032348632812
2020-06-08,31.64830207824707
2020-06-09,31.4812068939209
2020-06-10,31.511417388916016
2020-06-11,30.912076950073242
2020-06-12,30.78690528869629
2020-06-15,31.015043258666992
2020-06-16,31.229623794555664
2020-06-17,31.219131469726562
2020-06-18,31.25675392150879
2020-06-19,31.23394012451172
2020-06-22,31.3239688873291
2020-06-23,31.328285217285156
2020-06-24,31.00208854675293
2020-06-25,31.044628143310547
2020-06-26,30.648155212402344
2020-06-29,30.93733787536621
2020-06-30,31.407209396362305
2020-07-01,31.592742919921875
2020-07-02,31.65315055847168
2020-07-06,31.991243362426758
2020-07-07,31.841808319091797
2020-07-08,31.874183654785156
2020-07-09,31.710432052612305
2020-07-10,31.917762756347656
2020-07-13,31.88227653503418
2020-07-14,32.173675537109375
2020-07-15,32.31438064575195
2020-07-16,32.408416748046875
2020-07-17,32.61761474609375
2020-07-20,32.645023345947266
2020-07-21,32.736541748046875
2020-07-22,32.90651321411133
2020-07-23,32.886600494384766
2020-07-24,32.84736633300781
2020-07-27,32.950103759765625
2020-07-28,33.00114822387695
2020-07-29,33.154327392578125
2020-07-30,33.074623107910156
2020-07-31,33.136898040771484
2020-08-03,33.237064361572266
2020-08-04,33.255836486816406
2020-08-05,33.262107849121094
2020-08-06,33.31843185424805
2020-08-07,33.48248291015625
2020-08-10,33.57513427734375
2020-08-11,33.42489242553711
2020-08-12,33.606422424316406
2020-08-13,33.59391784667969
2020-08-14,33.65026092529297
2020-08-17,33.80052185058594
2020-08-18,33.762935638427734
2020-08-19,33.69408416748047
2020-08-20,33.690940856933594
2020-08-21,33.73163986206055
2020-08-24,33.863121032714844
2020-08-25,33.844337463378906
2020-08-26,33.90695571899414
2020-08-27,33.869384765625
2020-08-28,33.825557708740234
2020-08-31,33.92572021484375
2020-09-01,33.76283645629883
2020-09-02,34.0665168762207
2020-09-03,33.85060119628906
2020-09-04,33.42885971069336
2020-09-08,33.25840759277344
2020-09-09,33.71296691894531
2020-09-10,33.38467788696289
2020-09-11,33.42885971069336
2020-09-14,33.77610397338867
2020-09-15,33.88972854614258
2020-09-16,33.83292770385742
2020-09-17,33.59931945800781
2020-09-18,33.435184478759766
2020-09-21,33.10056686401367
2020-09-22,33.37836837768555
2020-09-23,32.84804153442383
2020-09-24,32.873291015625
2020-09-25,33.27733612060547
2020-09-28,33.668766021728516
2020-09-29,33.510948181152344
2020-09-30,33.668766021728516
2020-10-01,33.6611328125
2020-10-02,33.58921432495117
2020-10-05,33.93293380737305
2020-10-06,33.68468475341797
2020-10-07,34.08251953125
2020-10-08,34.27028274536133
2020-10-09,34.45742416381836
2020-10-12,34.62291717529297
2020-10-13,34.53761672973633
2020-10-14,34.52490234375
2020-10-15,34.4536018371582
2020-10-16,34.55289077758789
2020-10-19,34.28937911987305
2020-10-20,34.340301513671875
2020-10-21,34.1747932434082
2020-10-22,34.27028274536133
2020-10-23,34.361305236816406
2020-10-26,34.142974853515625
2020-10-27,33.91383743286133
2020-10-28,33.296409606933594
2020-10-29,33.38551712036133
2020-10-30,33.18755340576172
2020-11-02,33.62857437133789
2020-11-03,34.14286422729492
2020-11-04,34.625022888183594
2020-11-05,34.99658966064453
2020-11-06,35.00816345214844
2020-11-09,35.08145523071289
2020-11-10,35.27432632446289
2020-11-11,35.42218780517578
2020-11-12,35.29490280151367
2020-11-13,35.589324951171875
2020-11-16,35.66004943847656
2020-11-17,35.57904815673828
2020-11-18,35.46718215942383
2020-11-19,35.53147506713867
2020-11-20,35.454322814941406
2020-11-23,35.53147506713867
2020-11-24,35.685752868652344
2020-11-25,35.5828971862793
2020-11-27,35.685752868652344
2020-11-30,35.595760345458984
2020-12-01,35.75791549682617
2020-12-02,35.650901794433594
2020-12-03,35.5185546875
2020-12-04,35.686580657958984
2020-12-07,35.6217041015625
2020-12-08,35.72549819946289
2020-12-09,35.69306182861328
2020-12-10,35.55034255981445
2020-12-11,35.582786560058594
2020-12-14,35.589271545410156
2020-12-15,35.8876838684082
2020-12-16,35.881202697753906
2020-12-17,36.108245849609375
2020-12-18,36.1666374206543
2020-12-21,36.010929107666016
2020-12-22,35.8876838684082
2020-12-23,35.926605224609375
2020-12-24,36.07127380371094
2020-12-28,36.244483947753906
2020-12-29,36.27042770385742
2020-12-30,36.25930404663086
2020-12-31,36.521331787109375
2021-01-04,36.12172317504883
2021-01-05,36.16757583618164
2021-01-06,36.37065124511719
2021-01-07,36.43683624267578
2021-01-08,36.534446716308594
2021-01-11,36.534446716308594
2021-01-12,36.457130432128906
2021-01-13,36.5737419128418
2021-01-14,36.45582962036133
2021-01-15,36.521331787109375
2021-01-19,36.619598388671875
2021-01-20,36.940589904785156
2021-01-21,36.79648208618164
2021-01-22,36.80302810668945
2021-01-25,36.986446380615234
2021-01-26,36.95368957519531
2021-01-27,36.3248176574707
2021-01-28,36.45582962036133
2021-01-29,35.93830871582031
2021-02-01,36.24965286254883
2021-02-02,36.631439208984375
2021-02-03,36.519535064697266
2021-02-04,36.77626419067383
2021-02-05,36.8618278503418
2021-02-08,36.848663330078125
2021-02-09,36.92763900756836
2021-02-10,36.907901763916016
2021-02-11,36.88154983520508
2021-02-12,36.89473342895508
2021-02-16,36.80916213989258
