ticker,name,market
229640.KS,229640,KOSPI
330590.KS,330590,KOSPI
249420.KS,249420,KOSPI
000080.KS,000080,KOSPI
004000.KS,004000,KOSPI
415640.KS,415640,KOSPI
300720.KS,300720,KOSPI
005300.KS,005300,KOSPI
185750.KS,185750,KOSPI
298050.KS,298050,KOSPI
285130.KS,285130,KOSPI
100090.KS,100090,KOSPI
071320.KS,071320,KOSPI
000815.KS,000815,KOSPI
000670.KS,000670,KOSPI
192080.KS,192080,KOSPI
012630.KS,012630,KOSPI
075580.KS,075580,KOSPI
082640.KS,082640,KOSPI
195870.KS,195870,KOSPI
137310.KS,137310,KOSPI
089860.KS,089860,KOSPI
365550.KS,365550,KOSPI
009240.KS,009240,KOSPI
006120.KS,006120,KOSPI
001740.KS,001740,KOSPI
280360.KS,280360,KOSPI
006650.KS,006650,KOSPI
181710.KS,181710,KOSPI
079160.KS,079160,KOSPI
030190.KS,030190,KOSPI
003160.KS,003160,KOSPI
064960.KS,064960,KOSPI
192400.KS,192400,KOSPI
317450.KS,317450,KOSPI
281820.KS,281820,KOSPI
00088K.KS,00088K,KOSPI
036530.KS,036530,KOSPI
093370.KS,093370,KOSPI
003240.KS,003240,KOSPI
004490.KS,004490,KOSPI
108320.KS,108320,KOSPI
499790.KS,499790,KOSPI
066575.KS,066575,KOSPI
000210.KS,000210,KOSPI
071055.KS,071055,KOSPI
005690.KS,005690,KOSPI
009450.KS,009450,KOSPI
100840.KS,100840,KOSPI
003470.KS,003470,KOSPI
451800.KS,451800,KOSPI
014820.KS,014820,KOSPI
003620.KS,003620,KOSPI
069260.KS,069260,KOSPI
0120G0.KS,0120G0,KOSPI
114090.KS,114090,KOSPI
003850.KS,003850,KOSPI
002350.KS,002350,KOSPI
007700.KS,007700,KOSPI
248070.KS,248070,KOSPI
001680.KS,001680,KOSPI
079900.KS,079900,KOSPI
025540.KS,025540,KOSPI
214320.KS,214320,KOSPI
381970.KS,381970,KOSPI
005250.KS,005250,KOSPI
005180.KS,005180,KOSPI
039130.KS,039130,KOSPI
000640.KS,000640,KOSPI
001060.KS,001060,KOSPI
001270.KS,001270,KOSPI
00104K.KS,00104K,KOSPI
002020.KS,002020,KOSPI
019170.KS,019170,KOSPI
950210.KS,950210,KOSPI
010780.KS,010780,KOSPI
000370.KS,000370,KOSPI
293940.KS,293940,KOSPI
008730.KS,008730,KOSPI
268280.KS,268280,KOSPI
475150.KS,475150,KOSPI
005420.KS,005420,KOSPI
057050.KS,057050,KOSPI
002840.KS,002840,KOSPI
383800.KS,383800,KOSPI
058650.KS,058650,KOSPI
456040.KS,456040,KOSPI
001570.KS,001570,KOSPI
005880.KS,005880,KOSPI
006380.KS,006380,KOSPI
005389.KS,005389,KOSPI
322000.KS,322000,KOSPI
002030.KS,002030,KOSPI
090460.KS,090460,KOSPI
017940.KS,017940,KOSPI
336370.KS,336370,KOSPI
002240.KS,002240,KOSPI
003545.KS,003545,KOSPI
005810.KS,005810,KOSPI
002960.KS,002960,KOSPI
105630.KS,105630,KOSPI
003030.KS,003030,KOSPI
377740.KS,377740,KOSPI
001500.KS,001500,KOSPI
192650.KS,192650,KOSPI
016380.KS,016380,KOSPI
014830.KS,014830,KOSPI
093050.KS,093050,KOSPI
094800.KS,094800,KOSPI
145720.KS,145720,KOSPI
006220.KS,006220,KOSPI
271940.KS,271940,KOSPI
004690.KS,004690,KOSPI
105840.KS,105840,KOSPI
090435.KS,090435,KOSPI
284740.KS,284740,KOSPI
016610.KS,016610,KOSPI
170900.KS,170900,KOSPI
097520.KS,097520,KOSPI
000400.KS,000400,KOSPI
017810.KS,017810,KOSPI
453340.KS,453340,KOSPI
033240.KS,033240,KOSPI
145990.KS,145990,KOSPI
016800.KS,016800,KOSPI
034310.KS,034310,KOSPI
009900.KS,009900,KOSPI
178920.KS,178920,KOSPI
029530.KS,029530,KOSPI
003300.KS,003300,KOSPI
091810.KS,091810,KOSPI
009410.KS,009410,KOSPI
016590.KS,016590,KOSPI
000070.KS,000070,KOSPI
004700.KS,004700,KOSPI
161000.KS,161000,KOSPI
130660.KS,130660,KOSPI
026890.KS,026890,KOSPI
183190.KS,183190,KOSPI
348950.KS,348950,KOSPI
037270.KS,037270,KOSPI
448730.KS,448730,KOSPI
015360.KS,015360,KOSPI
089590.KS,089590,KOSPI
002710.KS,002710,KOSPI
357120.KS,357120,KOSPI
005610.KS,005610,KOSPI
029460.KS,029460,KOSPI
006110.KS,006110,KOSPI
344820.KS,344820,KOSPI
092200.KS,092200,KOSPI
060980.KS,060980,KOSPI
005945.KS,005945,KOSPI
000650.KS,000650,KOSPI
031430.KS,031430,KOSPI
072710.KS,072710,KOSPI
200880.KS,200880,KOSPI
003280.KS,003280,KOSPI
001530.KS,001530,KOSPI
403550.KS,403550,KOSPI
460860.KS,460860,KOSPI
011500.KS,011500,KOSPI
003000.KS,003000,KOSPI
001390.KS,001390,KOSPI
000157.KS,000157,KOSPI
020000.KS,020000,KOSPI
027410.KS,027410,KOSPI
004310.KS,004310,KOSPI
001200.KS,001200,KOSPI
001940.KS,001940,KOSPI
126720.KS,126720,KOSPI
217590.KS,217590,KOSPI
015860.KS,015860,KOSPI
432320.KS,432320,KOSPI
084010.KS,084010,KOSPI
475560.KS,475560,KOSPI
272450.KS,272450,KOSPI
417310.KS,417310,KOSPI
452260.KS,452260,KOSPI
126560.KS,126560,KOSPI
011930.KS,011930,KOSPI
009155.KS,009155,KOSPI
104700.KS,104700,KOSPI
138490.KS,138490,KOSPI
007690.KS,007690,KOSPI
003520.KS,003520,KOSPI
034120.KS,034120,KOSPI
084690.KS,084690,KOSPI
017860.KS,017860,KOSPI
008060.KS,008060,KOSPI
024720.KS,024720,KOSPI
306200.KS,306200,KOSPI
006405.KS,006405,KOSPI
025860.KS,025860,KOSPI
018250.KS,018250,KOSPI
003960.KS,003960,KOSPI
001820.KS,001820,KOSPI
012030.KS,012030,KOSPI
194370.KS,194370,KOSPI
001510.KS,001510,KOSPI
010690.KS,010690,KOSPI
009160.KS,009160,KOSPI
017390.KS,017390,KOSPI
286940.KS,286940,KOSPI
092230.KS,092230,KOSPI
002810.KS,002810,KOSPI
005090.KS,005090,KOSPI
123890.KS,123890,KOSPI
033270.KS,033270,KOSPI
002310.KS,002310,KOSPI
005720.KS,005720,KOSPI
033530.KS,033530,KOSPI
034830.KS,034830,KOSPI
241590.KS,241590,KOSPI
377190.KS,377190,KOSPI
088260.KS,088260,KOSPI
007160.KS,007160,KOSPI
011760.KS,011760,KOSPI
900140.KS,900140,KOSPI
009290.KS,009290,KOSPI
003200.KS,003200,KOSPI
002320.KS,002320,KOSPI
128820.KS,128820,KOSPI
092790.KS,092790,KOSPI
006340.KS,006340,KOSPI
334890.KS,334890,KOSPI
009470.KS,009470,KOSPI
003920.KS,003920,KOSPI
009680.KS,009680,KOSPI
002900.KS,002900,KOSPI
003120.KS,003120,KOSPI
000490.KS,000490,KOSPI
000320.KS,000320,KOSPI
096760.KS,096760,KOSPI
010580.KS,010580,KOSPI
013890.KS,013890,KOSPI
000680.KS,000680,KOSPI
02826K.KS,02826K,KOSPI
004360.KS,004360,KOSPI
0030R0.KS,0030R0,KOSPI
001340.KS,001340,KOSPI
078520.KS,078520,KOSPI
000430.KS,000430,KOSPI
122900.KS,122900,KOSPI
003220.KS,003220,KOSPI
001460.KS,001460,KOSPI
005500.KS,005500,KOSPI
108670.KS,108670,KOSPI
035150.KS,035150,KOSPI
136490.KS,136490,KOSPI
058430.KS,058430,KOSPI
001750.KS,001750,KOSPI
033920.KS,033920,KOSPI
007460.KS,007460,KOSPI
035510.KS,035510,KOSPI
226320.KS,226320,KOSPI
005950.KS,005950,KOSPI
001790.KS,001790,KOSPI
001630.KS,001630,KOSPI
007570.KS,007570,KOSPI
037710.KS,037710,KOSPI
244920.KS,244920,KOSPI
008490.KS,008490,KOSPI
051905.KS,051905,KOSPI
000050.KS,000050,KOSPI
007860.KS,007860,KOSPI
004980.KS,004980,KOSPI
487570.KS,487570,KOSPI
001130.KS,001130,KOSPI
012200.KS,012200,KOSPI
210980.KS,210980,KOSPI
005010.KS,005010,KOSPI
030210.KS,030210,KOSPI
001230.KS,001230,KOSPI
000540.KS,000540,KOSPI
028100.KS,028100,KOSPI
053210.KS,053210,KOSPI
404990.KS,404990,KOSPI
003070.KS,003070,KOSPI
084680.KS,084680,KOSPI
003350.KS,003350,KOSPI
000480.KS,000480,KOSPI
000140.KS,000140,KOSPI
117580.KS,117580,KOSPI
003610.KS,003610,KOSPI
001080.KS,001080,KOSPI
005680.KS,005680,KOSPI
004430.KS,004430,KOSPI
006805.KS,006805,KOSPI
011785.KS,011785,KOSPI
271980.KS,271980,KOSPI
339770.KS,339770,KOSPI
102460.KS,102460,KOSPI
000860.KS,000860,KOSPI
001780.KS,001780,KOSPI
134380.KS,134380,KOSPI
003555.KS,003555,KOSPI
095570.KS,095570,KOSPI
010820.KS,010820,KOSPI
214420.KS,214420,KOSPI
000520.KS,000520,KOSPI
003547.KS,003547,KOSPI
039570.KS,039570,KOSPI
025000.KS,025000,KOSPI
010955.KS,010955,KOSPI
298690.KS,298690,KOSPI
005430.KS,005430,KOSPI
003650.KS,003650,KOSPI
102260.KS,102260,KOSPI
053690.KS,053690,KOSPI
002150.KS,002150,KOSPI
004380.KS,004380,KOSPI
001045.KS,001045,KOSPI
044450.KS,044450,KOSPI
234080.KS,234080,KOSPI
012610.KS,012610,KOSPI
011690.KS,011690,KOSPI
001520.KS,001520,KOSPI
016580.KS,016580,KOSPI
213500.KS,213500,KOSPI
101530.KS,101530,KOSPI
016880.KS,016880,KOSPI
008970.KS,008970,KOSPI
025820.KS,025820,KOSPI
004560.KS,004560,KOSPI
081000.KS,081000,KOSPI
013580.KS,013580,KOSPI
025620.KS,025620,KOSPI
004710.KS,004710,KOSPI
001250.KS,001250,KOSPI
003720.KS,003720,KOSPI
272550.KS,272550,KOSPI
006060.KS,006060,KOSPI
097955.KS,097955,KOSPI
009070.KS,009070,KOSPI
031440.KS,031440,KOSPI
015230.KS,015230,KOSPI
010100.KS,010100,KOSPI
400760.KS,400760,KOSPI
293480.KS,293480,KOSPI
004090.KS,004090,KOSPI
000390.KS,000390,KOSPI
014280.KS,014280,KOSPI
037560.KS,037560,KOSPI
002100.KS,002100,KOSPI
002170.KS,002170,KOSPI
000300.KS,000300,KOSPI
071840.KS,071840,KOSPI
000020.KS,000020,KOSPI
