Date,Open,High,Low,Close,Volume
2020-05-21,6089.529492331748,7203.569963418574,5628.836064438699,5670.71728515625,922002.0
2020-05-22,5863.371079388787,5980.638500976563,5461.311348230699,5695.84619140625,190014.0
2020-05-25,5771.231914299961,5771.231914299961,5444.558409716945,5511.568359375,95835.0
2020-05-26,5511.568991444594,5528.3214807802915,5344.044098087616,5461.3115234375,54323.0
2020-05-27,5469.687531716153,5612.083684915502,5411.053821575245,5545.07373046875,80916.0
2020-05-28,5545.07366526349,5704.222305203077,5235.152629591664,5394.30126953125,80830.0
2020-05-29,5394.300975,5402.67721875,5193.271125,5235.15234375,38127.0
2020-06-01,5277.034102879214,5285.410347486959,5168.142922978532,5218.400390625,31643.0
2020-06-02,5218.399937883209,5302.162376693533,5193.271206240111,5293.7861328125,50739.0
2020-06-03,5352.420110687401,5352.420110687401,5201.647713203249,5285.41015625,42833.0
2020-06-04,5302.162612571593,5310.538856825261,5184.895193020247,5210.02392578125,80723.0
2020-06-05,5218.399937883209,5293.7861328125,5168.1424745970135,5293.7861328125,23655.0
2020-06-08,5293.78627321286,5310.53876141923,5176.518855768271,5243.52880859375,40556.0
2020-06-09,5277.033882082695,5796.36102603369,5218.400172281777,5469.6875,172742.0
2020-06-10,5478.063678026575,5494.816166338583,5293.786306594488,5318.9150390625,60841.0
2020-06-11,5377.549144476232,6910.401937995159,5369.172899702905,6541.84716796875,2071836.0
2020-06-12,6039.272019514951,6449.707982006259,5545.073615698888,6022.51953125,609713.0
2020-06-15,6190.044949373335,6265.431153086948,5335.667973952388,5503.19287109375,268084.0
2020-06-16,5586.954936646777,5838.24226513164,5536.697470949805,5637.21240234375,163589.0
2020-06-17,5486.440123220425,6324.06456951362,5469.687634294561,5938.75732421875,516809.0
2020-06-18,5871.747023122903,6407.826637216863,5871.747023122903,6240.3017578125,463286.0
2020-06-19,6491.589715027844,6491.589715027844,5461.311605416974,5687.47021484375,283372.0
2020-06-22,5695.846394793291,5695.846394793291,5335.667872769598,5369.1728515625,79579.0
2020-06-23,5444.559074280754,5444.559074280754,5218.400466579861,5277.0341796875,96035.0
2020-06-24,5352.420048494517,5444.55873477533,5277.033850628397,5394.30126953125,64640.0
2020-06-25,5377.549038172151,5377.549038172151,5193.271656801766,5218.400390625,69259.0
2020-06-26,5243.528533074549,5352.419700694309,5218.399802085374,5344.04345703125,29195.0
2020-06-29,5277.0345237038355,5277.0345237038355,5134.638354016589,5159.76708984375,41921.0
2020-06-30,5184.895240045363,5268.657683341734,5168.142751386089,5193.271484375,18275.0
2020-07-01,5193.271806318681,5997.391311813187,5193.271806318681,5335.66796875,714057.0
2020-07-02,5444.558957122093,5628.836337209302,5327.291533430232,5402.677734375,50297.0
2020-07-03,5377.549192994506,5419.430417239011,5302.162989354396,5335.66796875,29619.0
2020-07-06,5335.667591883614,5578.578675344564,5293.786370597243,5469.6875,37292.0
2020-07-07,5570.202275973647,5771.23213255014,5452.93485963736,5612.08349609375,101206.0
2020-07-08,5653.964681235817,5653.964681235817,5486.439801791793,5536.697265625,38061.0
2020-07-09,5578.578863200351,5771.232487605168,5536.697640503652,5662.34130859375,61068.0
2020-07-10,5662.340565362595,5662.340565362595,5419.429505605915,5486.439453125,50030.0
2020-07-13,5486.439955812063,5486.439955812063,5352.420048494517,5394.30126953125,27662.0
2020-07-14,5402.677623401989,5570.202510949337,5243.528980232008,5528.3212890625,77622.0
