Asset,Values,CAGR,MDD,Sharpe,History
SCHD,"$65,910",0.142417230838773,-0.34391978935898404,0.8910818841825917,2011-10-20~
GLD,"$87,137",0.10880814863088628,-0.39803416226856125,0.7634633023574577,2005-01-03~
XLP,"$85,711",0.10793566355433204,-0.45722200727337753,0.6922838835687667,2005-01-03~
IEF,"$69,879",0.09719288843198837,-0.32847532792697215,0.7515695167412849,2005-01-03~
TLT,"$66,952",0.09495558933431436,-0.3442208814588978,0.7282018146802735,2005-01-03~
LQD,"$66,167",0.09433986607990685,-0.40477079080302636,0.6879794497231728,2005-01-03~
BIL,"$49,684",0.09019601668969357,-0.3740010895248859,0.6754874716031319,2007-05-30~
