Label,CAGR,MDD,Sharpe,Trades,Final
V4: Fixed 3% (Current),0.10802054342451384,-0.25320249137281164,0.8577131839114551,30,27.05499945653285
Challenger: 3*ATR + 2-Day,0.10071742684609819,-0.3037192631754259,0.7542782415087611,22,21.87315391790939
