Date,PSQ,VTI,^IRX,^TNX,MA185,Spread,VTI_Pct,PSQ_Pct,Signal,W_VTI,W_PSQ,Strategy_Ret,Strategy_Cum,VTI_Cum
2016-01-28,233.58018493652344,81.38923645019531,0.3179999887943268,1.9850000143051147,88.54793915619722,1.667000025510788,0.003976151560744601,-0.014211586532898002,0.5,0.5,0.5,-0.0051177174860767005,149910.9861726712,165947.90674492568
2016-01-29,228.81661987304688,83.4080581665039,0.30000001192092896,1.930999994277954,88.51243863492398,1.6309999823570251,0.024804529497508776,-0.02039370362161108,0.5,0.5,0.5,0.0022054129379488474,150241.60180111707,170064.16649283003
2016-02-01,228.24171447753906,83.42503356933594,0.29499998688697815,1.965999960899353,88.47517790923247,1.6709999740123749,0.00020352233591314217,-0.0025125158995302765,0.5,0.5,0.5,-0.0011544967818085672,150068.14835534393,170098.77834924977
2016-02-02,232.9642333984375,81.8133544921875,0.33000001311302185,1.8639999628067017,88.42306266990867,1.5339999496936798,-0.01931889036411283,0.020690866836978516,0.5,0.5,0.5,0.000685988236432844,150171.09333977895,166812.6586992511
2016-02-03,234.2372283935547,82.30535125732422,0.3330000042915344,1.88100004196167,88.37568445978938,1.5480000376701355,0.006013648605298405,0.005464336634628308,0.5,0.5,0.5,0.005738992619963357,151032.9241361878,167815.81141158397
2016-02-04,234.2372283935547,82.50041961669922,0.28299999237060547,1.8639999628067017,88.33080596923828,1.5809999704360962,0.0023700568237068342,0.0,0.5,0.5,0.5,0.0011850284118534171,151211.90244241446,168213.5444205459
2016-02-05,242.36817932128906,80.80393981933594,0.27799999713897705,1.8480000495910645,88.27648645349451,1.5700000524520874,-0.02056328689290554,0.03471246216281698,0.5,0.5,0.5,0.00707458763495572,152281.66429769166,164754.52104735372
2016-02-08,246.14627075195312,79.54853057861328,0.25999999046325684,1.7350000143051147,88.21050287195155,1.475000023841858,-0.015536485517037124,0.015588232090714138,0.5,0.5,0.5,2.587328683850698e-05,152285.6043248723,162194.8148172351
2016-02-09,246.8854217529297,79.44673156738281,0.30000001192092896,1.7289999723434448,88.14338189202385,1.4289999604225159,-0.0012797095117912383,0.0030028933557211257,0.5,0.5,0.5,0.0008615919219649437,152416.81237139017,161987.25256995024
2016-02-10,245.73561096191406,79.49761199951172,0.2980000078678131,1.7050000429153442,88.0746841430664,1.4070000350475311,0.0006404345543875589,-0.0046572648269459505,0.5,0.5,0.5,-0.0020084151362791958,152110.69613840006,162090.99480386634
2016-02-11,246.10516357421875,78.51367950439453,0.27300000190734863,1.6440000534057617,88.00089358767947,1.371000051498413,-0.0123768811461058,0.001503862671177858,0.5,0.5,0.5,-0.005436509237463971,151283.74493372656,160084.81382632485
2016-02-12,242.36817932128906,80.0405044555664,0.27000001072883606,1.7480000257492065,87.93567240947002,1.4780000150203705,0.019446610588240487,-0.015184501611656409,0.5,0.5,0.5,0.002131054488292039,151606.1388373732,163197.92086189636
2016-02-16,237.23507690429688,81.49949645996094,0.27300000190734863,1.777999997138977,87.8770729683541,1.5049999952316284,0.01822817102813823,-0.021178945319334286,0.5,0.5,0.5,-0.0014753871455980283,151382.46108893878,166172.72047480356
2016-02-17,231.7322998046875,82.84818267822266,0.2930000126361847,1.819000005722046,87.82671215985272,1.5259999930858612,0.016548399399305413,-0.023195461528774053,0.5,0.5,0.5,-0.0033235310647343197,150879.33677685374,168922.61302248974
2016-02-18,234.2372283935547,82.51738739013672,0.2879999876022339,1.7589999437332153,87.77975748422983,1.4709999561309814,-0.00399278870570674,0.010809578945095044,0.5,0.5,0.5,0.003408395119694152,151393.59317198666,168248.1407210751
2016-02-19,233.45697021484375,82.53437805175781,0.28299999237060547,1.7480000257492065,87.72837788349874,1.465000033378601,0.00020590401803155522,-0.0033310596443704155,0.5,0.5,0.5,-0.0015625778131694301,151157.02890224013,168282.7836892759
2016-02-22,229.80215454101562,83.73886108398438,0.2930000126361847,1.7660000324249268,87.68396078573691,1.473000019788742,0.014593713076401116,-0.015655200487116328,0.5,0.5,0.5,-0.0005307437053576058,151076.80326062968,170738.65435013527
2016-02-23,233.53916931152344,82.72943878173828,0.3179999887943268,1.7450000047683716,87.63742972709038,1.4270000159740448,-0.012054406868917344,0.016261878736392843,0.5,0.5,0.5,0.0021037359337377493,151394.6289604033,168680.5011423473
2016-02-24,231.23948669433594,83.1535873413086,0.3149999976158142,1.7419999837875366,87.59197169123469,1.4269999861717224,0.005126936261338866,-0.009847095988081978,0.5,0.5,0.5,-0.002360079863371556,151037.32554517125,169545.3153202348
2016-02-25,229.02197265625,84.1375503540039,0.3100000023841858,1.6970000267028809,87.55219371898754,1.387000024318695,0.011833079535782165,-0.009589685869771714,0.5,0.5,0.5,0.0011216968330052257,151206.74363490083,171551.55852133842
2016-02-26,229.3915557861328,84.0697021484375,0.30300000309944153,1.7619999647140503,87.51033271583351,1.4589999616146088,-0.000806396255666364,0.0016137452908833172,0.5,0.5,0.5,0.0004036745176084766,151267.7819441968,171413.21998689306
2016-02-29,231.3216094970703,83.39957427978516,0.30799999833106995,1.7400000095367432,87.46882406698691,1.4320000112056732,-0.007971098404382704,0.008413795810064295,0.5,0.5,0.5,0.00022134870284079566,151301.26487151175,170046.86834256543
2016-03-01,223.84767150878906,85.38445281982422,0.3199999928474426,1.8339999914169312,87.43845091123839,1.5139999985694885,0.02379962436475136,-0.03230972672432453,0.5,0.5,0.5,-0.004255051179786584,150657.47024591704,174093.91993352084
2016-03-02,223.88877868652344,85.85948944091797,0.30300000309944153,1.8480000495910645,87.41367175128009,1.545000046491623,0.005563502551174659,0.0001836390678415789,0.5,0.5,0.5,0.002873570809508119,151090.39515465003,175062.49190121496
2016-03-03,224.2993927001953,86.28362274169922,0.2630000114440918,1.8300000429153442,87.39159182986698,1.5670000314712524,0.0049398535158202694,0.0018340089042461205,0.5,0.5,0.5,0.003386931210033195,151602.12792953558,175927.27496732143
2016-03-04,224.17630004882812,86.58045959472656,0.26499998569488525,1.8830000162124634,87.36515432821737,1.6180000305175781,0.0034402455946473953,-0.000548787269931239,0.5,0.5,0.5,0.0014457291623580781,151821.30354695884,176532.50800000608
2016-03-07,225.49029541015625,86.75862884521484,0.26499998569488525,1.9019999504089355,87.33827988908098,1.6369999647140503,0.0020578459772826463,0.005861437453655638,0.5,0.5,0.5,0.003959641715469142,152422.4615137803,176895.7847114535
2016-03-08,227.42037963867188,85.68136596679688,0.3050000071525574,1.8320000171661377,87.3088342615076,1.5270000100135803,-0.012416780817731676,0.00855950019935392,0.5,0.5,0.5,-0.0019286403091888782,152128.49341047902,174699.30852511074
2016-03-09,225.9009246826172,86.09697723388672,0.2879999876022339,1.8919999599456787,87.28389372954497,1.6039999723434448,0.004850661078990015,-0.006681261188943632,0.5,0.5,0.5,-0.0009153000549768087,151989.25019209686,175546.71566149994
2016-03-10,226.27053833007812,86.07154083251953,0.30300000309944153,1.9290000200271606,87.25610553638356,1.6260000169277191,-0.00029543895946648746,0.0016361758942786686,0.5,0.5,0.5,0.0006703684674060906,152091.13899281033,175494.85232248716
2016-03-11,222.36935424804688,87.53052520751953,0.30799999833106995,1.9769999980926514,87.23539078171189,1.6689999997615814,0.01695083370052508,-0.017241237462122916,0.5,0.5,0.5,-0.0001452018807989175,152069.05507337573,178469.63637950385
2016-03-14,221.95864868164062,87.42874908447266,0.30799999833106995,1.9630000591278076,87.20924781593116,1.6550000607967377,-0.001162750055544448,-0.00184695219264841,0.5,1.0,0.0,-0.001162750055544448,151892.23677114258,178262.12079989057
2016-03-15,222.08189392089844,87.13045501708984,0.32499998807907104,1.9589999914169312,87.18366047627217,1.63400000333786,-0.0034118533149158914,0.000555262162523773,0.5,1.0,0.0,-0.0034118533149158914,151374.00273960494,177653.9165921155
2016-03-16,220.1107177734375,87.67586517333984,0.30000001192092896,1.937999963760376,87.15799515182907,1.637999951839447,0.0062596959483687264,-0.008875897591917314,0.5,0.5,0.5,-0.001308100821774294,151175.990282226,178765.97609401902
2016-03-17,220.23390197753906,88.34912872314453,0.2750000059604645,1.902999997138977,87.13547227189348,1.6279999911785126,0.007679006628262153,0.0005596465512796023,0.5,1.0,0.0,0.007679006628262153,152336.8717136373,180138.72120935272
2016-03-18,219.78224182128906,88.74113464355469,0.2800000011920929,1.871000051498413,87.11886225519953,1.5910000503063202,0.004437009465464659,-0.002050820296940814,0.5,1.0,0.0,0.004437009465464659,153012.79185537,180937.99842045532
2016-03-21,218.8787841796875,88.82637786865234,0.2879999876022339,1.9229999780654907,87.10424883043444,1.6349999904632568,0.0009605829972769708,-0.00411069444971901,0.5,1.0,0.0,0.0009605829972769708,153159.7733415921,181111.80438529936
2016-03-22,218.385986328125,88.80081176757812,0.29499998688697815,1.934999942779541,87.08977838464685,1.6399999558925629,-0.00028782104694202726,-0.0022514646789976167,0.5,1.0,0.0,-0.00028782104694202726,153115.69073527952,181059.67659614762
2016-03-23,220.1107177734375,88.07644653320312,0.2930000126361847,1.875,87.08173469337257,1.5819999873638153,-0.00815719158368633,0.007897628754993002,0.5,1.0,0.0,-0.00815719158368633,151866.69671148338,179582.73812607254
2016-03-24,219.98756408691406,88.05086517333984,0.2750000059604645,1.899999976158142,87.07223716942039,1.6249999701976776,-0.0002904449585581226,-0.000559507904790868,0.5,1.0,0.0,-0.0002904449585581226,151822.58779505067,179530.57922513978
2016-03-28,220.23390197753906,88.1104965209961,0.2549999952316284,1.8700000047683716,87.05988678803315,1.6150000095367432,0.0006772374983352591,0.0011197809823817462,0.5,1.0,0.0,0.0006772374983352591,151925.40774459977,179652.1640654889
