Window,CAGR,MDD,Recovery (Days),Sharpe,Trades
MA185 + 3% Buffer,0.10325294472479318,-0.2097198609404994,1359,0.8635674824338806,15
MA200 + 3% Buffer,0.09800039003100869,-0.22373839909765503,1422,0.8150728363546398,15
MA300 + 3% Buffer,0.0972461298755678,-0.2362912508509045,1318,0.7780186030839099,12
