Cash_Ratio,Sortino,CAGR,MDD,Sharpe
0.7000000000000001,1.083374796291278,0.10612534626022807,-0.2532021109695631,0.852165370214714
0.6000000000000001,1.076788166468119,0.10746856143243,-0.2999947828187601,0.8336282581745819
0.8,1.0710418822023713,0.1045737314356241,-0.22333135020913603,0.8628965060466497
0.5,1.0540064640700784,0.10860268576281151,-0.3468846540110574,0.8095188720099515
0.9,1.0397813054718974,0.10281448722359277,-0.20753419041709356,0.8638689245108411
0.4,1.0193512882539892,0.10952710777665442,-0.3918523840886242,0.7819467595614659
0.30000000000000004,0.9773985539898726,0.11024129628138613,-0.43485706146964304,0.7526632030976145
1.0,0.9497913520787137,0.10084846225344601,-0.20971968653490713,0.8538992352987136
0.2,0.9320456730495907,0.11074480086261107,-0.4758722090457149,0.7229865812379651
0.1,0.886148504186706,0.11103725230890915,-0.5148848823312433,0.6938304679343013
0.0,0.8415600940522464,0.11111836296549704,-0.5518947150457681,0.665778108636864
