Strategy,CAGR,MDD,Trades,Final_Val
Buffer (+/- 3%),0.09971466655661931,-0.17709002983281014,12,9.515567450852547
VIX Filter (Don't Sell > 33),0.09489998436655478,-0.5122340223899792,123,8.57567282045551
Delay (5 Days),0.09349296841330124,-0.21332672710496217,19,8.318240896934514
Buffer (+/- 1%),0.08858248058306706,-0.24080854429811074,36,7.476555080723606
Golden Cross (50/200),0.08778014504280995,-0.35000297154728954,12,7.347028495061359
Delay (3 Days),0.0867598197360715,-0.20254634278569142,33,7.185412649718298
RSI Confirm (50),0.08011694646897283,-0.24250034891354225,54,6.213512522679958
Base (MA185 Daily),0.07044254728398824,-0.26182208845513405,93,5.020212354098183
