Ticker,Start,V4_CAGR,V4_MDD,V4_Sharpe,V4_Sortino,BH_CAGR,BH_MDD
SCHG,2010-01-04,0.15883864574631712,-0.22670300472922592,1.0899383420629358,1.3511857724375438,0.17172159038593304,-0.3459126828969148
SPY,1993-01-29,0.10784440619847513,-0.2532024967638454,0.8565117868961956,1.0949186712581482,0.1069639715160946,-0.55189434696476
VTI,2001-06-15,0.10149996338952816,-0.2770395760924859,0.8444583553398262,1.0884762103131442,0.09976308980235626,-0.5545376237694211
QLD,2006-06-21,0.2236474066430285,-0.5103954747214938,0.8092758923857657,1.0143581616682293,0.24711435466729648,-0.8312887176227116
SSO,2006-06-21,0.16164219380729095,-0.5069311867340539,0.7460265232022335,0.9300042389442466,0.14877878786854626,-0.8466730193439777
RSP,2003-05-01,0.08266858787312703,-0.3056437970701165,0.6696332198287787,0.8669235985248571,0.09803198137789204,-0.5992282512890861
XLK,1998-12-22,0.09275784931091624,-0.6187204623738282,0.6090564593090808,0.7795677622566832,0.08832812281431246,-0.82046503372382
QQQ,1999-03-10,0.09531075493227581,-0.6160748338325595,0.602061060686987,0.7570319044736874,0.09237549931764422,-0.829639000045107
DIA,1998-01-20,0.06091214153447955,-0.48013103809299745,0.5419304586763679,0.7008873948696408,0.09147389443175924,-0.5186837112822615
IWM,2000-05-26,0.05179006993530422,-0.46929841547446405,0.39545870057710614,0.5284898929635434,0.08162257550397034,-0.5863998095438239
