date,value,cash,holdings
2021-01-04,149077.25174825176,149077.25174825176,0.0
2021-01-05,149077.25174825176,149077.25174825176,0.0
2021-01-06,149077.25174825176,149077.25174825176,0.0
2021-01-07,149077.25174825176,149077.25174825176,0.0
2021-01-08,149077.25174825176,149077.25174825176,0.0
2021-01-11,149077.25174825176,149077.25174825176,0.0
2021-01-12,149077.25174825176,149077.25174825176,0.0
2021-01-13,149077.25174825176,149077.25174825176,0.0
2021-01-14,149077.25174825176,149077.25174825176,0.0
2021-01-15,149077.25174825176,149077.25174825176,0.0
2021-01-19,149077.25174825176,149077.25174825176,0.0
2021-01-20,149077.25174825176,149077.25174825176,0.0
2021-01-21,149077.25174825176,149077.25174825176,0.0
2021-01-22,149077.25174825176,149077.25174825176,0.0
2021-01-25,149077.25174825176,149077.25174825176,0.0
2021-01-26,149077.25174825176,149077.25174825176,0.0
2021-01-27,149077.25174825176,149077.25174825176,0.0
2021-01-28,149077.25174825176,149077.25174825176,0.0
2021-01-29,149077.25174825176,149077.25174825176,0.0
2021-02-01,148630.0936254185,-422.6139856654785,149052.70761108398
2021-02-02,149616.64799248392,-422.6139856654785,150039.2619781494
2021-02-03,151247.05088936503,-422.6139856654785,151669.66487503052
2021-02-04,151850.86810051615,-422.6139856654785,152273.48208618164
2021-02-05,152731.3046964329,-422.6139856654785,153153.9186820984
2021-02-08,155013.1096662205,-422.6139856654785,155435.723651886
2021-02-09,155019.8929914158,-422.6139856654785,155442.5069770813
2021-02-10,155880.11304604227,-422.6139856654785,156302.72703170776
2021-02-11,155938.86282860453,-422.6139856654785,156361.47681427002
2021-02-12,156635.20839058573,-422.6139856654785,157057.82237625122
2021-02-16,157762.97277580912,-422.6139856654785,158185.5867614746
2021-02-17,159275.6444066685,-422.6139856654785,159698.25839233398
2021-02-18,158048.8399709385,-422.6139856654785,158471.453956604
2021-02-19,159369.78620278055,-422.6139856654785,159792.40018844604
2021-02-22,160568.88075005228,-422.6139856654785,160991.49473571777
2021-02-23,161139.67749153788,-422.6139856654785,161562.29147720337
2021-02-24,163878.6661504429,-422.6139856654785,164301.2801361084
2021-02-25,161078.85195290262,-422.6139856654785,161501.46593856812
2021-02-26,158568.26929985697,-422.6139856654785,158990.88328552246
2021-03-01,162133.85437216837,84.81031622964983,162049.04405593872
2021-03-02,162111.31672492105,84.81031622964983,162026.5064086914
2021-03-03,162491.70040335733,84.81031622964983,162406.8900871277
2021-03-04,161819.77316107828,84.81031622964983,161734.96284484863
2021-03-05,166172.47719779093,84.81031622964983,166087.66688156128
2021-03-08,167312.9966069706,84.81031622964983,167228.18629074097
2021-03-09,167556.34738745767,84.81031622964983,167471.53707122803
2021-03-10,169582.60619177896,84.81031622964983,169497.79587554932
2021-03-11,170650.70625891763,84.81031622964983,170565.895942688
2021-03-12,171551.96406760294,84.81031622964983,171467.1537513733
2021-03-15,171628.22898306925,84.81031622964983,171543.4186668396
2021-03-16,170200.97857489664,84.81031622964983,170116.168258667
2021-03-17,170805.40822424967,84.81031622964983,170720.59790802002
2021-03-18,167919.40738883096,84.81031622964983,167834.59707260132
2021-03-19,168138.42327704508,84.81031622964983,168053.61296081543
2021-03-22,167977.2441007145,84.81031622964983,167892.43378448486
2021-03-23,165516.93643775064,84.81031622964983,165432.126121521
2021-03-24,166121.3666020878,84.81031622964983,166036.55628585815
2021-03-25,167862.93517508585,84.81031622964983,167778.1248588562
2021-03-26,171303.93669333536,84.81031622964983,171219.1263771057
2021-03-29,170296.5760060795,84.81031622964983,170211.76568984985
2021-03-30,170054.07603659708,84.81031622964983,169969.26572036743
2021-03-31,169008.76467719156,84.81031622964983,168923.9543609619
2021-04-01,170565.221399062,104.03364729196346,170461.18775177002
2021-04-05,171122.54152464183,104.03364729196346,171018.50787734985
2021-04-06,170306.20704435618,104.03364729196346,170202.1733970642
2021-04-07,170332.96870207103,104.03364729196346,170228.93505477905
2021-04-08,170055.18728040965,104.03364729196346,169951.15363311768
2021-04-09,170513.72162031443,104.03364729196346,170409.68797302246
2021-04-12,169672.899965041,104.03364729196346,169568.86631774902
2021-04-13,169861.61135648997,104.03364729196346,169757.577709198
2021-04-14,171326.20612882884,104.03364729196346,171222.17248153687
2021-04-15,171652.13553785594,104.03364729196346,171548.10189056396
2021-04-16,172387.05753492625,104.03364729196346,172283.02388763428
2021-04-19,172140.09509062083,104.03364729196346,172036.06144332886
2021-04-20,169750.0258042744,104.03364729196346,169645.99215698242
2021-04-21,171742.1215150288,104.03364729196346,171638.08786773682
2021-04-22,170086.1153581074,104.03364729196346,169982.08171081543
2021-04-23,171463.98544859202,104.03364729196346,171359.95180130005
2021-04-26,171310.9082047871,104.03364729196346,171206.87455749512
2021-04-27,171938.64584898265,104.03364729196346,171834.61220169067
2021-04-28,173575.2135903767,104.03364729196346,173471.17994308472
2021-04-29,174788.21298002513,104.03364729196346,174684.17933273315
2021-04-30,171422.319055312,104.03364729196346,171318.28540802002
2021-05-03,174194.13818525584,104.03364729196346,174090.10453796387
2021-05-04,173824.22979139598,104.03364729196346,173720.196144104
2021-05-05,176125.60008405955,104.03364729196346,176021.56643676758
2021-05-06,177091.195428603,104.03364729196346,176987.16178131104
2021-05-07,179025.402459853,104.03364729196346,178921.36881256104
2021-05-10,178481.61967253,104.03364729196346,178377.58602523804
2021-05-11,175402.16121839793,104.03364729196346,175298.12757110596
2021-05-12,173028.51891874583,104.03364729196346,172924.48527145386
2021-05-13,174018.06495451243,104.03364729196346,173914.03130722046
2021-05-14,177084.53185438426,104.03364729196346,176980.49820709229
2021-05-17,177881.62005018504,104.03364729196346,177777.58640289307
2021-05-18,175816.2134454182,104.03364729196346,175712.17979812622
2021-05-19,173284.60410475047,104.03364729196346,173180.5704574585
2021-05-20,174370.10632108958,104.03364729196346,174266.0726737976
2021-05-21,174749.88551878245,104.03364729196346,174645.85187149048
2021-05-24,176085.86542295726,104.03364729196346,175981.83177566528
2021-05-25,174875.42692732127,104.03364729196346,174771.3932800293
2021-05-26,175604.03614210399,104.03364729196346,175500.002494812
2021-05-27,175412.60968565257,104.03364729196346,175308.5760383606
2021-05-28,175776.1898400715,104.03364729196346,175672.15619277954
2021-06-01,178039.16064757045,104.87704771693075,177934.28359985352
2021-06-02,178843.4580032223,104.87704771693075,178738.58095550537
2021-06-03,178106.10970228846,104.87704771693075,178001.23265457153
2021-06-04,179397.67754286464,104.87704771693075,179292.8004951477
2021-06-07,179382.23053282435,104.87704771693075,179277.35348510742
2021-06-08,180035.91897505458,104.87704771693075,179931.04192733765
2021-06-09,179043.21543425258,104.87704771693075,178938.33838653564
