date,ticker,side,qty,price,cost
2021-02-01,AVGO,BUY,793,41.98828125,99.89012109375001
2021-02-01,MSFT,BUY,144,229.9537353515625,99.340013671875
2021-02-01,AAPL,BUY,255,130.5789337158203,99.89288429260255
2021-03-01,AVGO,SELL,40,44.04299545288086,5.285159454345703
2021-03-01,MSFT,BUY,1,227.87701416015625,0.6836310424804688
2021-03-01,AAPL,BUY,11,124.58335876464844,4.111250839233398
2021-04-01,AVGO,BUY,6,43.15151596069336,0.7767272872924805
2021-04-01,MSFT,SELL,5,233.08006286621094,3.496200942993164
2021-04-01,AAPL,BUY,7,119.91356658935547,2.518184898376465
2021-06-01,AVGO,BUY,17,42.45882797241211,2.1654002265930177
2021-06-01,MSFT,SELL,2,238.4862823486328,1.430917694091797
2021-06-01,AAPL,SELL,2,121.36723327636719,0.7282033996582031
2021-07-01,AVGO,BUY,47,42.9127197265625,6.050693481445312
2021-07-01,MSFT,SELL,4,261.814453125,3.1417734375
2021-07-01,AAPL,SELL,8,134.0527801513672,3.2172667236328127
2021-09-01,AVGO,BUY,32,45.06182861328125,4.325935546875
2021-09-01,MSFT,SELL,2,291.51220703125,1.7490732421875
2021-09-01,AAPL,SELL,5,149.15875244140625,2.237381286621094
2021-10-01,AVGO,SELL,28,44.8572998046875,3.7680131835937503
2021-10-01,AAPL,BUY,8,139.51539611816406,3.3483695068359376
2021-11-01,AVGO,BUY,4,48.60346221923828,0.5832415466308594
2021-11-01,MSFT,SELL,5,318.1108703613281,4.771663055419922
2021-11-01,AAPL,BUY,11,145.68675231933594,4.807662826538086
2021-12-01,AVGO,BUY,3,51.06193923950195,0.45955745315551755
2021-12-01,MSFT,BUY,6,319.3797302246094,5.748835144042968
2021-12-01,AAPL,SELL,14,161.3845672607422,6.7781518249511725
2022-02-01,AVGO,SELL,676,54.90488052368164,111.34709770202637
2022-02-01,MSFT,SELL,104,298.7508544921875,93.21026660156251
2022-02-01,AAPL,SELL,213,171.02236938476562,109.28329403686523
2022-02-01,BIL,BUY,667,78.37016296386719,156.81869609069824
2022-02-01,TLT,BUY,424,123.22650146484375,156.74410986328127
2022-03-01,AVGO,BUY,4,52.811405181884766,0.6337368621826172
2022-03-01,MSFT,BUY,1,285.978759765625,0.857936279296875
2022-03-01,AAPL,BUY,3,160.05047607421875,1.4404542846679687
2022-03-01,BIL,SELL,10,78.38044738769531,2.3514134216308595
2022-03-01,TLT,SELL,6,123.02401733398438,2.2144323120117186
2022-04-01,AVGO,SELL,17,58.47120666503906,2.982031539916992
2022-04-01,MSFT,SELL,2,300.00860595703125,1.8000516357421876
2022-04-01,AAPL,SELL,4,170.946044921875,2.0513525390625
2022-04-01,BIL,SELL,7,78.39762115478516,1.6463500442504884
