Ticker,AAPL,AMZN,AVGO,BRK-B,COST,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PG,TSLA,UNH,V,WMT,XOM
AAPL,,,,,,,,,,,,,,,,,,,,
AMZN,,,,,,,,,,,,,,,,,,,,
AVGO,,,,,,,,,,,,,,,,,,,,
BRK-B,,,,,,,,,,,,,,,,,,,,
COST,,,,,,,,,,,,,,,,,,,,
GOOGL,,,,,,,,,,,,,,,,,,,,
HD,,,,,,,,,,,,,,,,,,,,
JNJ,,,,,,,,,,,,,,,,,,,,
JPM,,,,,,,,,,,,,,,,,,,,
LLY,,,,,,,,,,,,,,,,,,,,
MA,,,,,,,,,,,,,,,,,,,,
META,,,,,,,,,,,,,,,,,,,,
MSFT,,,,,,,,,,,,,,,,,,,,
NVDA,,,,,,,,,,,,,,,,,,,,
PG,,,,,,,,,,,,,,,,,,,,
TSLA,,,,,,,,,,,,,,,,,,,,
UNH,,,,,,,,,,,,,,,,,,,,
V,,,,,,,,,,,,,,,,,,,,
WMT,,,,,,,,,,,,,,,,,,,,
XOM,,,,,,,,,,,,,,,,,,,,
