Date,QQQ,SPY,SMA110,SMA250,Ret_Strategy,Strategy_Idx,Benchmark_Idx
2012-02-15,55.572959899902344,105.09760284423828,50.446811398592864,49.960960754394534,-0.004783158526991871,152057.9707953362,121842.4207022966
2012-02-16,56.334346771240234,106.26141357421875,50.53333993391557,49.980243362426755,0.015000605783891275,154338.93247153546,123191.65715243989
2012-02-17,56.157291412353516,106.54252624511719,50.61281686262651,50.00478221130371,-0.00123035466726365,154149.04084562862,123517.55848020964
2012-02-21,56.316627502441406,106.58943176269531,50.687980096990415,50.031607421875,0.004735188070782593,154878.96554496346,123571.93728287828
2012-02-22,56.059906005859375,106.24575805664062,50.75456712896174,50.0563531036377,-0.003144201368973915,154391.99488947174,123173.50729832865
2012-02-23,56.43174362182617,106.71439361572266,50.81797190579501,50.07981449890137,0.005156296008659744,155188.08571648932,123716.80885231704
2012-02-24,56.62651443481445,106.94868469238281,50.87902613553134,50.10363398742676,0.005191484222508386,155993.74221500778,123988.42867195772
2012-02-27,56.70620346069336,107.12836456298828,50.940644558993256,50.131035064697265,-0.0018967834277392734,155697.8558699433,124196.73628120444
2012-02-28,57.281654357910156,107.44074249267578,51.00949887362393,50.159685485839844,0.01309948457244925,157737.41753087507,124558.88424744783
2012-02-29,57.02492904663086,107.01898193359375,51.083876731178975,50.18334426879883,-0.009225840669771782,156282.15724907396,124069.92611629551
2012-03-01,57.476444244384766,107.57353973388672,51.17679145119407,50.209861709594726,0.011246501506834827,158039.78476606705,124712.83958890036
2012-03-02,57.43217086791992,107.24549102783203,51.264733609286225,50.238938735961916,-0.0019093085417866197,157738.03805507108,124332.52407862943
2012-03-05,56.8390007019043,106.8080825805664,51.34223202792081,50.26483610534668,-0.013071304452658644,155676.1961358882,123825.42493832398
2012-03-06,56.28123092651367,105.24600982666016,51.41008966619318,50.289870712280276,-0.020406702871694507,152499.35825714745,122014.47282811155
2012-03-07,56.71505355834961,105.9802017211914,51.48846570795233,50.31976322937012,0.011452529729818039,154245.86169136563,122865.6408402143
2012-03-08,57.3259391784668,107.03462982177734,51.577606929432264,50.35087132263184,0.017967872233675866,157017.33162680932,124088.06712544862
2012-03-09,57.56497573852539,107.44856262207031,51.68006609136408,50.38363725280762,0.005567625128168186,157891.54526793264,124567.95032954533
2012-03-12,57.591556549072266,107.45635223388672,51.79359096180309,50.41931629943848,-0.003344004206969325,157363.55527631182,124576.98103181025
2012-03-13,58.66281509399414,109.39337921142578,51.9084358215332,50.463981719970704,0.023845960551082093,161116.04040760876,126822.62745496225
2012-03-14,58.866432189941406,109.27619171142578,52.01438772028143,50.50770738220215,-0.0017284632739824166,160837.55724891473,126686.7688978721
2012-03-15,59.03466033935547,109.90887451171875,52.11465287642046,50.55253807067871,0.00678940715307752,161929.548910584,127420.25474187038
2012-03-16,58.99296951293945,110.06105041503906,52.21742543307218,50.59351289367676,-0.0009177299085695701,161780.9413204676,127596.67627700839
2012-03-19,59.40979766845703,110.49246978759766,52.308994050459425,50.63650634765625,0.009040435745489017,163243.51152532,128096.83212517088
2012-03-20,59.51622772216797,110.17088317871094,52.39848334572532,50.6788363647461,-0.0033974255686869182,162688.90384534164,127724.0082944478
2012-03-21,59.525089263916016,109.99044036865234,52.48580825112083,50.71772355651856,-0.00079086987853888,162560.23809171788,127514.81618938669
2012-03-22,59.40093231201172,109.19812774658203,52.56783506220037,50.75562214660645,-0.0063570051414249705,161526.84182237755,126596.26728614382
2012-03-23,59.36545181274414,109.55110931396484,52.6410402471369,50.79446807861328,0.0035935521384805325,162107.29695023037,127005.488119629
2012-03-26,60.403076171875,111.08869171142578,52.73089457425204,50.83553204345703,0.023625237992642843,165937.1204210236,128788.04791419953
2012-03-27,60.491737365722656,110.7435531616211,52.815862135453656,50.87600207519531,-0.001594151187440979,165672.59156346388,128387.91969768629
2012-03-28,60.25228500366211,110.19444274902344,52.907633035833186,50.915233184814454,-0.007913248333364625,164361.5832043901,127751.32152519615
2012-03-29,60.0217170715332,110.00617218017578,52.999552744085136,50.953436645507814,-0.003876756929923908,163724.3932976892,127533.05449307938
2012-03-30,59.906429290771484,110.46113586425781,53.084731951626864,50.99184651184082,0.00039334426238258864,163788.79334840493,128060.50588207392
2012-04-02,60.52720642089844,111.26915740966797,53.16601309342818,51.03326651000977,0.015042444664469145,166252.5772090085,128997.26655413509
2012-04-03,60.50946807861328,110.81414794921875,53.256353690407494,51.07412364196777,-0.002066870906113344,165908.95459410883,128469.76209539169
2012-04-04,59.68472671508789,109.71586608886719,53.33975778059526,51.11182238769531,-0.02058883461003354,162493.08256764716,127196.49499074627
2012-04-05,60.05717086791992,109.66095733642578,53.41387942921032,51.151959487915036,0.007567366848588109,163722.72733379444,127132.8378269847
2012-04-09,59.604888916015625,108.4293212890625,53.48316806446422,51.19095501708984,-0.011339766831849885,161866.1497807547,125704.96969894227
2012-04-10,58.647090911865234,106.6093978881836,53.55168685913086,51.22748965454102,-0.021593666703030766,158370.86609188622,123595.08453834083
2012-04-11,58.930885314941406,107.47228240966797,53.634892862493345,51.26347297668457,0.009000523295973468,159796.28676154977,124595.44930441468
2012-04-12,59.604888916015625,108.87646484375,53.72037745389071,51.3025036315918,0.017034621830995047,162518.35607653,126223.35500583932
2012-04-13,58.7003288269043,107.5821304321289,53.788177559592505,51.338267440795896,-0.018686099633627655,159481.5218825906,124722.79901177039
2012-04-16,58.04405212402344,107.51154327392578,53.85241713090377,51.372811508178714,-0.010452062643234528,157814.61102543538,124640.96545902312
2012-04-17,59.223541259765625,109.1040267944336,53.92409178993919,51.41084378051758,0.022013292662875862,161288.63024441618,126487.17357239708
2012-04-18,59.07279968261719,108.73529052734375,53.98902414495295,51.4437759399414,-0.005322474157734009,160430.17567800396,126059.68790034477
2012-04-19,58.407657623291016,108.03711700439453,54.064506842873314,51.47243127441406,-0.01157115833547991,158573.81271344493,125250.27693563933
2012-04-20,58.248016357421875,108.21755981445312,54.13877868652344,51.49992106628418,-0.003616730592074263,158000.29395390235,125459.46904070047
2012-04-23,57.71590042114258,107.30753326416016,54.19963396245783,51.52412294006348,-0.012629712793017472,156004.79562005223,124404.45127825552
2012-04-24,57.405521392822266,107.71549987792969,54.2605540188876,51.5456778717041,-0.0035733783324958584,155447.3314636181,124877.41772508372
2012-04-25,58.930885314941406,109.19029998779297,54.330209628018466,51.57365046691895,0.029087918415512806,159968.970759141,126587.19235908818
2012-04-26,59.27674865722656,109.95123291015625,54.410706641457296,51.60318226623535,0.009595225562645582,161503.90911659918,127469.36194948523
2012-04-27,59.631500244140625,110.13162231445312,54.50517248673872,51.634519439697264,0.0071551921115769355,162659.5006130991,127678.49213983935
2012-04-30,59.205833435058594,109.72367095947266,54.59921639182351,51.66513778686524,-0.006525740203729508,161598.02697042964,127205.54338292747
2012-05-01,59.303348541259766,110.40623474121094,54.70264587402344,51.69646240234375,0.0032948342788905296,162130.46568909287,127996.8575632705
2012-05-02,59.47187042236328,110.07674407958984,54.806163995916194,51.72958543395996,0.001418831719996788,162360.50153659043,127614.87035591037
2012-05-03,58.84220504760742,109.23737335205078,54.913820162686434,51.75952220153808,-0.013372748715050115,160189.2953482921,126641.76575083598
2012-05-04,57.37890625,107.47228240966797,55.01146066839045,51.78283283996582,-0.028974114012331166,155547.95244131566,124595.44930441468
2012-05-07,57.43210983276367,107.55077362060547,55.09483205621893,51.804599548339844,0.0008804406027981826,155684.90317432713,124686.44623379903
2012-05-08,57.21928024291992,107.11924743652344,55.178994716297495,51.827025802612305,-0.008910424659372168,154297.6845739906,124186.16655622252
2012-05-09,57.04191970825195,106.48390197753906,55.245429091020064,51.847512817382814,-0.006711216017001365,153262.15948189143,123449.59382183201
2012-05-10,56.92662811279297,106.7035140991211,55.30768831426447,51.86999812316895,-0.0026057215127715918,152862.80097583565,123704.19594200386
2012-05-11,56.91775894165039,106.38191223144531,55.37114968733354,51.89599656677246,-0.005052873359018028,152090.40460119996,123331.3544213645
2012-05-14,56.38565444946289,105.2051773071289,55.4248027454723,51.91930435180664,-0.015203065381701898,149778.16423611843,121967.13461212548
2012-05-15,56.199398040771484,104.60118103027344,55.478045307506214,51.94018075561524,-0.008362120623349673,148525.70116003213,121266.9058107482
2012-05-16,55.81805419921875,104.20108032226562,55.527821107344195,51.95893452453613,-0.01407317358612191,146435.47318560653,120803.05851576636
2012-05-17,54.6385612487793,102.65565490722656,55.57457154013894,51.974516159057615,-0.021226347134010705,143327.18299903575,119011.40610422389
2012-05-18,53.929080963134766,101.77704620361328,55.60765599337491,51.99024632263183,-0.014433433698254422,141258.4796060616,117992.81187941549
2012-05-21,55.43671417236328,103.52640533447266,55.659577664462006,52.01323669433594,0.0325195473218248,145852.14141821992,120020.89002214409
2012-05-22,55.374637603759766,103.70684814453125,55.71590607383035,52.03520587158203,-0.003135354928876277,145394.84318773713,120230.08212720521
2012-05-23,55.48107147216797,103.76175689697266,55.780177723277696,52.05637103271484,0.0007809272378785036,145508.3859810295,120293.73929096678
2012-05-24,55.11746597290039,103.96571350097656,55.84234636480158,52.075062866210935,-0.007543153378460193,144410.7939077224,120530.19155702737
2012-05-25,55.04651641845703,103.62842559814453,55.901610391790214,52.090203430175784,-0.001535697966045957,144189.02254524324,120139.16480244418
2012-05-29,55.747108459472656,104.883544921875,55.971585949984465,52.11260848999024,0.017486867769551474,146710.43691631278,121594.25771165351
2012-05-30,55.27708053588867,103.36168670654297,56.02434175664728,52.132711730957034,-0.012375102916190067,144894.88016059418,119829.92737581753
2012-05-31,55.037654876708984,103.1341552734375,56.081353898481886,52.15487889099121,-0.0032342487490911284,144426.25407568508,119566.14418909233
2012-06-01,53.574337005615234,100.53759002685547,56.12128382596103,52.17280900573731,-0.0279621091776796,140387.79139109747,116555.87766927555
2012-06-04,53.982295989990234,100.49050903320312,56.16106248335405,52.192722290039065,0.006137890783964905,141249.47632205806,116501.29543256962
2012-06-05,54.20400619506836,101.2514877319336,56.20117454528808,52.21492771911621,0.005834680656302454,142073.62190926724,117383.51809271555
2012-06-06,55.44559860229492,103.52640533447266,56.25780549482866,52.2417481842041,0.03118982704415301,146504.8736041537,120020.89002214409
2012-06-07,55.223880767822266,103.58918762207031,56.30920125787908,52.27066822814941,-0.003258979185303656,146027.41727053223,120093.67518271017
2012-06-08,55.7559814453125,104.41285705566406,56.366722037575464,52.30171667480469,0.009374991132989898,147396.42301261687,121048.57686392445
2012-06-11,54.81593704223633,103.08709716796875,56.40708517594771,52.326545562744144,-0.018260834532368715,144704.84132132048,119511.58848726084
2012-06-12,55.48107147216797,104.27169036865234,56.45156336697665,52.35772415161133,0.017826436637033417,147284.41300620695,120884.91860338805
2012-06-13,55.0997200012207,103.60486602783203,56.48879186456854,52.38811505126953,-0.007918768502112544,146118.10183564125,120111.85157169586
2012-06-14,55.303688049316406,104.7031478881836,56.52626474553888,52.41991697692871,0.00838062610135758,147342.66301376585,121385.11867634126
2012-06-15,55.99079895019531,105.77397155761719,56.57151354009455,52.453481307983395,0.014138207186945828,149425.8241109308,122626.55277662679
2012-06-18,56.5152473449707,105.97896575927734,56.61814949729226,52.485058700561524,0.01034214360753889,150971.20744256087,122864.20795699496
2012-06-19,57.1019172668457,107.00407409667969,56.66915314414285,52.52039135742187,0.01365246902330038,153032.3371755807,124052.6430680823
2012-06-20,57.14634704589844,106.83056640625,56.71870942549272,52.55410586547852,-0.000984988470462511,152881.60208785482,123851.49102997399
2012-06-21,55.72412872314453,104.43341827392578,56.75702663768421,52.58551197814941,-0.0368815810162676,147243.0868945548,121072.41402612219
2012-06-22,56.310787200927734,105.23776245117188,56.79641137556596,52.616201171875,0.009839716753617268,148691.91716352548,122004.91142835798
2012-06-25,55.22636032104492,103.55030822753906,56.819659735939716,52.63966516113281,-0.025882379570247742,144843.41652447128,120048.60127600889
2012-06-26,55.57303237915039,104.07072448730469,56.843081734397195,52.66370590209961,0.007285234402136954,145898.6347654584,120651.93356091986
2012-06-27,55.91080093383789,105.00906372070312,56.87029869773171,52.68645674133301,0.008511861381143217,147140.50372028004,121739.77496303679
2012-06-28,55.28858947753906,104.7094497680664,56.89169814369895,52.70369039916992,-0.013116806401591153,145210.49021914855,121392.42461176812
2012-06-29,57.03080368041992,107.31946563720703,56.92982139587402,52.7268716430664,0.04615700200584058,151912.97110746286,124418.28479279258
2012-07-02,57.199684143066406,107.64277648925781,56.96344333995472,52.75005938720703,0.0012998237161129076,152110.4311900935,124793.10758405615
2012-07-03,57.67966842651367,108.35244750976562,57.00311920859597,52.77234997558594,0.015131212851560905,154412.0465013735,125615.84790068441
2012-07-05,57.715232849121094,107.86354064941406,57.04166949879039,52.79534622192383,-0.002788759440519745,153981.42844896283,125049.0452929077
2012-07-06,56.995243072509766,106.8384780883789,57.07327204617587,52.819230377197265,-0.020326610110423922,150851.50798863464,123860.66325156922
2012-07-09,56.88856887817383,106.70445251464844,57.10326087258079,52.84423721313477,-0.0025390140356197693,150468.49389255708,123705.28387185553
2012-07-10,56.32856750488281,105.77397155761719,57.12421510869807,52.866158966064454,-0.014533194722463543,148281.7059712207,122626.55277662682
