Date,PV_KRW,Signal,QuantScore,Emergency
2023-03-06,123351623.80937284,NORMAL,45.02307745126578,True
2023-03-07,122358687.29102793,NORMAL,44.74615243765024,True
2023-03-08,124249011.9325702,NORMAL,50.07586740662093,True
2023-03-09,123251583.90003054,NORMAL,51.56739732368677,True
2023-03-10,123977881.55672379,DANGER,41.632458648928676,True
2023-03-13,124354448.00534831,DANGER,10.461540222167969,True
2023-03-14,122139484.43264553,DANGER,10.0,True
2023-03-15,122366936.6792652,NORMAL,40.43249006769333,True
2023-03-16,124288688.55190773,NORMAL,37.92936163079134,True
2023-03-17,123272411.45016667,NORMAL,56.20487646511087,True
2023-03-20,124301717.8977582,NORMAL,53.4823878862259,True
2023-03-21,124154473.90519598,NORMAL,58.70468630160161,False
2023-03-22,124060542.68496352,NORMAL,78.3538480905386,False
2023-03-23,124309922.23410685,NORMAL,76.12503062511715,False
2023-03-24,122797316.17815632,NORMAL,75.51538320688101,False
2023-03-27,123395434.18831548,NORMAL,77.52307745126578,False
2023-03-28,124016290.0686473,NORMAL,80.1538452735314,False
2023-03-29,124195521.72878142,NORMAL,81.21764447262163,False
2023-03-30,125790381.57170223,NORMAL,83.56922883253831,False
2023-03-31,125247063.55785227,NORMAL,83.7999989436223,False
2023-04-03,126510576.56669451,NORMAL,84.53845977783203,False
2023-04-04,126460887.35877223,NORMAL,84.88461714524489,False
2023-04-05,125644918.23178038,NORMAL,83.84615384615384,False
2023-04-06,126495714.80912954,NORMAL,83.66153863760141,False
2023-04-07,126661976.36503243,NORMAL,85.23077011108398,False
2023-04-10,126723683.66185798,NORMAL,85.23077011108398,False
2023-04-11,126970108.56461532,NORMAL,83.91538619995117,False
2023-04-12,126117587.55740517,NORMAL,83.61538373506986,False
2023-04-13,129724115.78362112,NORMAL,83.63846118633563,False
2023-04-14,126704451.30507232,NORMAL,86.61538637601413,False
2023-04-17,126741620.46628983,NORMAL,88.3000007042518,False
2023-04-18,128160431.60809723,NORMAL,88.57692131629358,False
2023-04-19,127721614.1361264,NORMAL,88.8538463299091,False
2023-04-20,127744901.49939092,NORMAL,89.70769442044772,False
2023-04-21,127086380.18286037,NORMAL,87.12972164971592,False
2023-04-24,127309827.4249366,NORMAL,84.56795920487757,False
2023-04-25,124476887.43595318,NORMAL,88.71538602388821,False
2023-04-26,125786499.30106068,NORMAL,65.5154322452219,False
2023-04-27,129322493.94043791,NORMAL,53.40491704686107,False
2023-04-28,130554799.16942653,NORMAL,76.11067066533985,False
2023-05-01,129699172.53606077,NORMAL,68.42164181761675,False
2023-05-02,129638913.8959395,NORMAL,69.26614668384659,False
2023-05-03,128948315.64559679,NORMAL,58.941919569292224,False
2023-05-04,128134571.04751128,NORMAL,61.62978050804096,False
2023-05-05,128913559.78958951,NORMAL,51.330768878643326,False
2023-05-08,128804527.15353554,NORMAL,75.53719994567088,False
2023-05-09,128608543.92441508,NORMAL,79.2978248513316,False
2023-05-10,129965644.33720905,NORMAL,77.70949815212958,False
2023-05-11,128801419.95326594,NORMAL,88.59999876755934,False
2023-05-12,129252667.78213112,NORMAL,85.18542500315814,False
2023-05-15,131374189.17824662,NORMAL,82.88399329611067,False
2023-05-16,130159203.0322562,NORMAL,87.85055174840281,False
2023-05-17,132621901.79537204,NORMAL,86.17692360511194,False
2023-05-18,133563448.90308182,NORMAL,88.76153652484601,False
2023-05-19,133939778.12314048,NORMAL,90.65384791447566,False
2023-05-22,133563908.54129307,NORMAL,88.90000123244066,False
2023-05-23,130826405.51559386,NORMAL,87.97692518967848,False
2023-05-24,130630155.29520026,NORMAL,84.93076764620267,False
2023-05-25,132465678.1640726,NORMAL,81.46922918466421,False
2023-05-26,136880070.91344148,NORMAL,83.52307833158054,False
2023-05-29,136009976.43508157,NORMAL,86.26922900860126,False
2023-05-30,136905747.11432236,NORMAL,86.26922900860126,False
2023-05-31,135399123.59205815,NORMAL,87.4000021127554,False
2023-06-01,137758450.72550175,NORMAL,86.29230645986704,False
2023-06-02,138433473.6046506,NORMAL,91.57692395723782,False
2023-06-05,137748492.8048832,NORMAL,93.99999911968524,False
2023-06-06,137485454.13775122,NORMAL,93.7000010563777,False
2023-06-07,134546650.8041168,NORMAL,95.4769229888916,False
2023-06-08,137768889.2938366,NORMAL,95.52307789142316,False
2023-06-09,137379491.96016386,NORMAL,96.19230857262244,False
2023-06-12,138673333.94131038,NORMAL,95.77692325298602,False
2023-06-13,139776476.7121355,NORMAL,93.0538456256573,False
2023-06-14,138642772.31677136,NORMAL,93.97692386920636,False
2023-06-15,141378554.89116505,NORMAL,95.66153819744403,False
2023-06-16,139726626.9054158,NORMAL,94.23076923076923,False
