Date,Current_Pool_CumRet,Expanded_Pool_CumRet
2021-05-12,0.9802123625273218,0.9802123625273218
2021-05-13,0.9822419643229987,0.9822419643229987
2021-05-14,0.9977190827397955,0.9977190827397955
2021-05-17,0.9959361235072803,0.9959361235072803
2021-05-18,0.9953095688548228,0.9953095688548228
2021-05-19,0.9956992437983201,0.9956992437983201
2021-05-20,1.0055175504059537,1.0055175504059537
2021-05-21,1.0032606279301255,1.0032606279301255
2021-05-24,1.0113327068560944,1.0113327068560944
2021-05-25,1.0158455807430395,1.0158455807430395
2021-05-26,1.0168009439274295,1.0168009439274295
2021-05-27,1.0148985389036957,1.0148985389036957
2021-05-28,1.0190554160062806,1.0190554160062806
2021-05-31,1.0202277013979832,1.0202277013979832
2021-06-01,1.0194991566019622,1.0194991566019622
2021-06-02,1.0214519927545853,1.0214519927545853
2021-06-03,1.0144987149058893,1.0144987149058893
2021-06-04,1.0243969169934712,1.0243969169934712
2021-06-07,1.0271085155933535,1.0271085155933535
2021-06-08,1.0264897235103214,1.0264897235103214
2021-06-09,1.0232544332428994,1.0232544332428994
2021-06-10,1.0301182033922862,1.0301182033922862
2021-06-11,1.0312396491095799,1.0312396491095799
2021-06-14,1.0349708729287677,1.0349708729287677
2021-06-15,1.0315008078655576,1.0315008078655576
2021-06-16,1.0274258352003764,1.0274258352003764
2021-06-17,1.0256348575493206,1.0256348575493206
2021-06-18,1.0196625753013908,1.0196625753013908
2021-06-21,1.024385677790393,1.024385677790393
2021-06-22,1.0301282991949985,1.0301282991949985
2021-06-23,1.0314639050762393,1.0314639050762393
2021-06-24,1.0357939474756743,1.0357939474756743
2021-06-25,1.0374684301772714,1.0374684301772714
2021-06-28,1.0430956058018412,1.0430956058018412
2021-06-29,1.0412126494505547,1.0412126494505547
2021-06-30,1.0423451146911806,1.0423451146911806
2021-07-01,1.0423403923632242,1.0423403923632242
2021-07-02,1.0496853780429083,1.0496853780429083
2021-07-05,1.0506845073844302,1.0506845073844302
2021-07-06,1.054683396332148,1.054683396332148
2021-07-07,1.0553428107672425,1.0553428107672425
2021-07-08,1.0488566261246721,1.0488566261246721
2021-07-09,1.0507165033821304,1.0507165033821304
2021-07-12,1.0547908125335146,1.0547908125335146
2021-07-13,1.0568030530114305,1.0568030530114305
2021-07-14,1.0593940698798836,1.0593940698798836
2021-07-15,1.057669767691849,1.057669767691849
2021-07-16,1.049758133721509,1.049758133721509
2021-07-19,1.0416096390653367,1.0416096390653367
2021-07-20,1.0474652090471188,1.0474652090471188
2021-07-21,1.0496150297864906,1.0496150297864906
2021-07-22,1.0566814505557995,1.0566814505557995
2021-07-23,1.062762965196746,1.062762965196746
2021-07-26,1.0603841685798896,1.0603841685798896
2021-07-27,1.0554617162752131,1.0554617162752131
2021-07-28,1.0588812957209341,1.0588812957209341
2021-07-29,1.06272867849455,1.06272867849455
2021-07-30,1.0545921221396068,1.0545921221396068
2021-08-02,1.0559402736050876,1.0559402736050876
2021-08-03,1.0615032865031717,1.0615032865031717
2021-08-04,1.0654677406466158,1.0654677406466158
2021-08-05,1.0675411538055781,1.0675411538055781
2021-08-06,1.0593863957591807,1.0593863957591807
2021-08-09,1.0554207408704381,1.0554207408704381
2021-08-10,1.0512940941133144,1.0512940941133144
2021-08-11,1.0512984929753137,1.0512984929753137
2021-08-12,1.051909950927721,1.051909950927721
2021-08-13,1.0528418461784135,1.0528418461784135
2021-08-16,1.0543455043316325,1.0543455043316325
2021-08-17,1.0461509203190538,1.0461509203190538
2021-08-18,1.0419412498318914,1.0419412498318914
2021-08-19,1.0384635707179486,1.0384635707179486
2021-08-20,1.04156276200491,1.04156276200491
2021-08-23,1.0544948440555062,1.0544948440555062
2021-08-24,1.0611592632999471,1.0611592632999471
2021-08-25,1.0614034954822231,1.0614034954822231
2021-08-26,1.0556963882371302,1.0556963882371302
2021-08-27,1.0643411176937858,1.0643411176937858
2021-08-30,1.0699508579556019,1.0699508579556019
2021-08-31,1.0752180793524841,1.0752180793524841
2021-09-01,1.0761734779181327,1.0761734779181327
2021-09-02,1.0731228384273503,1.0731228384273503
2021-09-03,1.0790254351801298,1.0790254351801298
2021-09-06,1.079765424124476,1.079765424124476
2021-09-07,1.074187359182134,1.074187359182134
2021-09-08,1.0697405756364136,1.0697405756364136
2021-09-09,1.0638893196508357,1.0638893196508357
2021-09-10,1.0592679784261827,1.0592679784261827
2021-09-13,1.0605675126040632,1.0605675126040632
2021-09-14,1.0617254023672358,1.0617254023672358
2021-09-15,1.0652345944660588,1.0652345944660588
2021-09-16,1.0582300731985403,1.0582300731985403
2021-09-17,1.0523686679293214,1.0523686679293214
2021-09-20,1.042332303894491,1.042332303894491
2021-09-21,1.044201224666486,1.044201224666486
2021-09-22,1.0488290067078465,1.0488290067078465
2021-09-23,1.051698025176413,1.051698025176413
2021-09-24,1.0516481438098264,1.0516481438098264
2021-09-27,1.0487325302658852,1.0487325302658852
2021-09-28,1.0281835523181977,1.0281835523181977
2021-09-29,1.0228053435867768,1.0228053435867768
2021-09-30,1.0243148830459745,1.0243148830459745
2021-10-01,1.024698319929617,1.024698319929617
2021-10-04,1.0146569631259301,1.0146569631259301
2021-10-05,1.0165749898934793,1.0165749898934793
2021-10-06,1.0164898771948925,1.0164898771948925
2021-10-07,1.0246257829927428,1.0246257829927428
2021-10-08,1.0217518592436792,1.0217518592436792
2021-10-11,1.0171000598867814,1.0171000598867814
2021-10-12,1.0117545790340716,1.0117545790340716
2021-10-13,1.0216307528165518,1.0216307528165518
2021-10-14,1.0359665040291066,1.0359665040291066
2021-10-15,1.03879302075203,1.03879302075203
2021-10-18,1.0425132665502133,1.0425132665502133
2021-10-19,1.0497915138440297,1.0497915138440297
2021-10-20,1.050318945291838,1.050318945291838
2021-10-21,1.052917132858224,1.052917132858224
2021-10-22,1.050222049479839,1.050222049479839
2021-10-25,1.0581906761763382,1.0581906761763382
