,Final Wealth,XIRR (%),MDD (%),Sharpe,Sortino
Defensive: XLU,343741.74780728284,14.818043954083846,-35.789894757544936,1.6997791231453316,2.1875025819497975
Defensive: BIL,308516.85000371316,13.624215228432588,-26.802107791724882,1.9192448170414491,2.6317574992362625
