,CAGR,MDD,Sharpe,Volatility
SCHD Core Portfolio,0.14774853230854612,-0.26031391403027404,0.8127817858606661,0.13256760200949838
SPY Core Portfolio,0.15782652707272327,-0.2635916765712717,0.8302417566763345,0.14191833417824265
