Strategy,CAGR (%),MDD (%),Sharpe,Trades
B&H QQQ,12.574054170356153,-29.56175809436199,0.7158386586478822,0
SMA 150,17.714176229987633,-18.0624425310412,1.1929645196365855,20
Original Fusion,7.9150331104406835,-33.90993227785092,0.5141528131773664,42
Optimized Hybrid,13.565685880297163,-20.51331371069447,0.965850528738891,38
