Date,Super_Ensemble,SPY_BH
2018-01-03,1.0053442170698754,1.0063251020637376
2018-01-04,1.0056310847774852,1.0105664095190958
2018-01-05,1.0140381510698886,1.0173008858153372
2018-01-08,1.0177467910950468,1.0191614029314129
2018-01-09,1.0162720731035728,1.021468153399292
2018-01-10,1.0135054194148936,1.0199054682594093
2018-01-11,1.0165305830727402,1.0273465074987398
2018-01-12,1.0238381876573992,1.034044381981924
2018-01-15,1.0243630907326582,1.034044381981924
2018-01-16,1.0250916920044537,1.030509444489973
2018-01-17,1.0287416235253062,1.0403321103138758
2018-01-18,1.028148904281083,1.0385835214134753
2018-01-19,1.0312871801198233,1.0433085002789837
2018-01-22,1.0349240961532187,1.0517913081693826
2018-01-23,1.0437193092586863,1.0540240187658583
2018-01-24,1.0431573232486433,1.0536147088599153
2018-01-25,1.044139734535958,1.0540612638445224
2018-01-26,1.053728104316263,1.0662646556811473
2018-01-29,1.051639636867688,1.0591956812690952
2018-01-30,1.0421411212756748,1.0483313754472456
2018-01-31,1.0455204059579413,1.0488524849157421
2018-02-01,1.0420746786515842,1.047661478643774
2018-02-02,1.0227566298854966,1.024853917596903
2018-02-05,0.9979428544856219,0.9819921009556474
2018-02-06,1.005639193854905,1.0013395363006996
2018-02-07,0.9923392574963922,0.9959074798796158
2018-02-08,0.9709880859340281,0.9585520168370905
2018-02-09,0.9743767497546714,0.972950616885284
2018-02-12,0.9871624651284984,0.9872382536162133
2018-02-13,0.9930136475051536,0.9896937914190675
2018-02-14,1.00892627017536,1.0030509444489966
2018-02-15,1.018878167277377,1.0158498072583253
2018-02-16,1.0161937694929821,1.016147703561079
2018-02-19,1.017979535707105,1.016147703561079
2018-02-20,1.0124834868613781,1.0097852920921164
2018-02-21,1.0110808582234407,1.0047623525972935
2018-02-22,1.0103379134919,1.006064579492769
2018-02-23,1.024743679303051,1.0221006121444165
2018-02-26,1.0329808560072595,1.0339695701917915
2018-02-27,1.0233633676619578,1.0210588434933483
2018-02-28,1.0159529732122723,1.0107153255071917
2018-03-01,1.006556375359826,0.996018700503123
2018-03-02,1.008687523965028,1.0011532465808175
2018-03-05,1.0114638967610072,1.0127246299582422
2018-03-06,1.020708935374833,1.0152918386705287
2018-03-07,1.0209865365090671,1.0149199668229323
2018-03-08,1.0265087581957477,1.0198310424286408
2018-03-09,1.0398220087214762,1.0375786762082675
2018-03-12,1.0446571453061015,1.036276706619035
2018-03-13,1.0398380561021914,1.0295795397280187
2018-03-14,1.038293555660268,1.024295563049742
2018-03-15,1.0370550728060965,1.0231793685679058
2018-03-16,1.0353944428826678,1.0242893233733508
2018-03-19,1.0224728773227763,1.0104302945165844
2018-03-20,1.0243931238496746,1.0121491002193657
2018-03-21,1.0256144558492415,1.010206245105552
2018-03-22,1.0122196565022517,0.9849538887914692
2018-03-23,0.9921471566935021,0.9639599507978995
2018-03-26,1.0144544196660799,0.9903330044530699
2018-03-27,0.9978744631174322,0.9734856852174598
2018-03-28,0.9860865026179374,0.9706090657480485
2018-03-29,0.9971567808895725,0.9830111623307772
2018-03-30,0.9977843157250952,0.9830111623307772
2018-04-02,0.9845244819005392,0.9617934322324181
2018-04-03,0.9888006491692347,0.9741206526984537
2018-04-04,0.9932926270905321,0.9845427134152651
2018-04-05,0.9992233849630817,0.9923127830127443
2018-04-06,0.985541000536479,0.9701982763312088
2018-04-09,0.9912666818779116,0.9749799268967229
2018-04-10,1.0035409183279245,0.9904824350536523
2018-04-11,1.0011735432312239,0.9852901237244198
2018-04-12,1.0053173629076195,0.9933962996017279
2018-04-13,1.005313545414708,0.9904824350536523
2018-04-16,1.010119894804171,0.998625791683064
2018-04-17,1.0207503101141358,1.0093097258286188
2018-04-18,1.0251699738744202,1.0100568145049698
2018-04-19,1.0211499656398002,1.0044535207792153
2018-04-20,1.009680718530445,0.9959363625053851
2018-04-23,1.0069071410114296,0.9957870605579242
2018-04-24,0.9953212228307121,0.9823763235029047
2018-04-25,0.9933378869346297,0.9848045225174477
2018-04-26,1.0062962155401616,0.9948156651642979
2018-04-27,1.0096748483827993,0.995749558173017
2018-04-30,1.0063822665783253,0.9880914811177738
2018-05-01,1.0103172797134345,0.9898474032460979
2018-05-02,1.006055199571325,0.983198288295949
2018-05-03,1.0052586941491615,0.9810314480976636
2018-05-04,1.0125846868146626,0.9937322129018747
2018-05-07,1.016762417612841,0.9970943049251367
2018-05-08,1.0156210304061462,0.9970943049251367
2018-05-09,1.0199945931704504,1.0067322248666148
2018-05-10,1.0294438224375655,1.0161457094376962
2018-05-11,1.0299982856906154,1.0192460566853363
2018-05-14,1.0293613778078048,1.019731979525112
2018-05-15,1.0179465643951184,1.0127088699508626
2018-05-16,1.0219199548164672,1.0169674169244975
2018-05-17,1.0188235662561869,1.0161082070527891
2018-05-18,1.0171578941057255,1.0135684657819357
2018-05-21,1.0213178031721408,1.021188718819468
2018-05-22,1.0203164872209163,1.0183496017349638
2018-05-23,1.0263522956791467,1.0211514737408036
2018-05-24,1.0270956652504257,1.0190596383123327
2018-05-25,1.0271436724181362,1.0166313106446683
2018-05-28,1.0279026078031428,1.0166313106446683
2018-05-29,1.0223956292737095,1.0049388646799442
2018-05-30,1.021743413885391,1.0183496017349636
2018-05-31,1.0217441910244216,1.012111211875094
2018-06-01,1.0308426499835415,1.0220476713849331
2018-06-04,1.0366524299205835,1.0269038121077758
2018-06-05,1.039743690869572,1.0276507721310053
2018-06-06,1.0434610125255794,1.0362430638277715
2018-06-07,1.0411075513430557,1.036130749652732
