Strategy,CAGR (%),MDD (%),Sharpe,Trades
SMA 150,11.780239550085492,-15.637030649192074,1.1038924413226676,20
Original Fusion,7.487442563150437,-24.054856178451132,0.6991072117063518,44
Optimized Hybrid,10.227984047896953,-16.18009093560969,0.9955001597863201,32
