,Days,Percentage
PFIX,199,52.64550264550265
DBC,69,18.253968253968253
BTAL,31,8.201058201058201
GLD,24,6.349206349206349
TLT,24,6.349206349206349
PDBC,16,4.232804232804233
XLU,6,1.5873015873015872
TAIL,5,1.3227513227513228
TBF,3,0.7936507936507936
KMLM,1,0.26455026455026454
