,CAGR (%),MDD (%),Sharpe,Sortino,Calmar,PF,Trades
SMA 150,10.790427268504587,-13.625265639630635,1.056109588095832,1.3579538220241187,0.7919425245640278,1.2002270207722194,106.0
SMA 185,10.348409628657729,-15.018438346978124,1.0177497564463431,1.2938503357410345,0.6890469827536991,1.1929962106729284,100.0
Original Fusion,12.134522170021512,-18.204508051525803,1.0483907396833954,1.3447515195538549,0.666566881987479,1.2074956155499184,140.0
Optimized Hybrid,9.474417405882152,-14.272398836510424,0.9695077506273421,1.2492235041440187,0.6638279601355808,1.1830653847673578,202.0
