,Tactical Ratio,CAGR (%),MDD (%),Sharpe
0,0.0,17.613263862704677,-27.53757539564379,1.0706272012364442
1,5.0,17.600061234703766,-27.262698126150408,1.0862446656391676
2,10.0,17.58106193965827,-26.996212153635756,1.1006530813436446
3,15.000000000000002,17.55627261858872,-26.73818713279006,1.1136277261135197
4,20.0,17.52570018131385,-26.488691561214385,1.1249438450924294
5,25.0,17.489351809455258,-26.247792767412648,1.134384204722114
6,30.000000000000004,17.44723495913114,-26.01555689895536,1.1417475168090794
7,35.0,17.399357363345167,-25.79204891081708,1.1468572357652869
8,40.0,17.345727034073466,-25.57733255388793,1.149570090957041
9,45.0,17.286352264058657,-25.371470363662084,1.149783635748895
10,50.0,17.221241628312644,-25.72408066764672,1.1474421029303776
11,55.00000000000001,17.150403985332808,-26.22926373885922,1.1425399667554892
12,60.00000000000001,17.07384847803599,-26.815884413761616,1.1351228184524946
13,65.0,16.99158453441365,-27.400085081904415,1.1252854365512854
14,70.0,16.903621867909347,-27.98184918671822,1.1131672307166571
15,75.0,16.809970477523862,-28.56116053232721,1.0989455068325256
16,80.0,16.71064064764698,-29.138003282490775,1.0828271974376749
17,85.00000000000001,16.605642947620346,-29.712361959499322,1.0650397982093889
18,90.0,16.494988231029616,-30.28422144302757,1.045822243310808
19,95.0,16.378687634731182,-31.01718009747161,1.025416355960129
20,100.0,16.25675257760919,-31.778569225184604,1.0040593551143007
