ma_type,period,cagr,mdd,sharpe,final_value,ticker
SMA,185,18.14034258515076,-14.357165034670349,1.2309301115426154,320.9756519331052,QQQ
SMA,180,18.031659664993384,-14.357165034670317,1.2246192229370423,319.54630752911964,QQQ
SMA,190,17.996139621435937,-14.357165034670327,1.2235225245789214,319.080262470842,QQQ
WMA,220,17.710736543897852,-13.438437244471258,1.2092314504083086,315.3551473345983,QQQ
SMA,160,17.524394057897673,-13.438437244471224,1.1975056925881586,312.9416702255057,QQQ
