Date,QQQ,VGT,QLD
2018-01-03,1.0059353289899489,1.006252139781527,1.0103408273511088
2018-01-04,1.0067805423390104,1.0089087729322095,1.0120401363909362
2018-01-05,1.0152394680955685,1.0176684301604026,1.0250037660389495
2018-01-08,1.0187896911540146,1.021635057539298,1.030230936433941
2018-01-09,1.0179381576338011,1.0195791605844666,1.0297484543289683
2018-01-10,1.0152957390646788,1.0165100481255847,1.0256044256617889
2018-01-11,1.0192013256540484,1.0202799385683217,1.032785531144229
2018-01-12,1.0264104531126497,1.0267584092201913,1.043257671425457
2018-01-15,1.0268314305755433,1.0271795293956605,1.0436855586964109
2018-01-16,1.0267135693372833,1.0263036041203346,1.042261093298344
2018-01-17,1.0318927940980065,1.0335588299289011,1.0525694753279309
2018-01-18,1.0312489158858777,1.0337584447822414,1.0519981996897756
2018-01-19,1.0345750800707338,1.0366136984208159,1.056931522667544
2018-01-22,1.0394808883318714,1.0401421329703424,1.0669382875215876
2018-01-23,1.0475345911468439,1.0471809652013118,1.0790634107395354
2018-01-24,1.0462951005237096,1.0448009282053035,1.074996849966224
2018-01-25,1.0471730051906036,1.0446225212766098,1.075449423529736
2018-01-26,1.057757170275365,1.0554116949772585,1.0930583180872875
2018-01-29,1.0548355414633268,1.0508798085874522,1.0880103566404986
2018-01-30,1.0451794302812663,1.0404155875868957,1.0742178010800025
2018-01-31,1.04827314667431,1.044852598938209,1.07894209414156
2018-02-01,1.0445303036957996,1.0447735849297495,1.07118187472033
2018-02-02,1.0245726628407699,1.0209635831015689,1.0408165829128238
2018-02-05,0.995882666198865,0.9925182912082912,0.9938931228511526
2018-02-06,1.0068614552878967,1.0029167227358702,1.0157680157339974
2018-02-07,0.994428145899715,0.9913126261101767,0.9974598858589192
2018-02-08,0.9690436235866687,0.9664660299486778,0.9535327088558673
2018-02-09,0.9750184236568479,0.9754142039146133,0.9660980225801474
2018-02-12,0.9884821920479994,0.988935008311571,0.9875783559880279
2018-02-13,0.9938673941478362,0.9934071253778751,0.9946622865791369
2018-02-14,1.0097234760859526,1.0100098058782767,1.019284224864761
2018-02-15,1.0209125572803428,1.0215377546726843,1.038511889310321
2018-02-16,1.0184196728052746,1.0199391552426955,1.0345883339622959
2018-02-19,1.0198514150560865,1.021373033653347,1.036042806877033
2018-02-20,1.0150009458143128,1.016729476325965,1.0313277722956804
