,CAGR (%),MDD (%),Sharpe,Sortino
Strategy,11.963577107345236,-28.3826153678178,0.9366715422411787,1.163137036299427
B&H,15.160369624736635,-28.804861145648132,0.961541435714147,1.2182841640223014
