date,regime,crash_prob,s1_suggested,s2_suggested,qqq_price,vix,vix_ratio,tnx_chg,dxy_chg,qqq_dist
2010-01-01,Normal,0.0037169810578839627,147,222,39.75931167602539,21.68000030517578,1.022087090897367,0.1564851002376868,0.019910981731426913,0.09387207604033287
2010-01-31,Normal,0.0026768835678467632,145,223,37.186920166015625,24.6200008392334,1.189659385135497,-0.0462473456715371,0.041551948235723835,-0.002694689220905433
2010-03-02,Normal,0.4691564512243188,149,223,39.463829040527344,19.260000228881836,0.8607436632633615,-0.0008312610162893863,0.08472300968325697,0.04096671874297919
2010-04-01,Normal,0.00026306053494319507,150,233,41.89844512939453,17.59000015258789,1.0008534937461104,0.05737929508603856,0.045659757142581636,0.07990541357071779
2010-05-01,Normal,0.001410337121218504,138,222,42.83802032470703,22.049999237060547,1.2656411011143813,-0.05079032454273702,0.031498046031095184,0.0739615861338756
2010-05-31,Normal,0.11528725025368249,150,227,39.6712646484375,32.06999969482422,1.0044003096560001,-0.09882609282013177,0.07348567499687486,-0.01550860800578302
2010-06-30,Crash,0.9324621197571306,150,222,37.87705993652344,34.130001068115234,1.160726468254083,-0.09981795989215037,0.06091999832904116,-0.06229388874559294
2010-07-30,Normal,0.006055292520548742,150,222,39.92066955566406,24.1299991607666,0.9400626990386698,0.016265705753336857,-0.019928014421295326,-0.012184566726039514
2010-08-29,Normal,0.00044191598098231114,149,230,38.488399505615234,24.450000762939453,0.9956225504196048,-0.08771933565611689,-0.04842783165321474,-0.05080080009392163
2010-09-28,Choppy,0.0021298418737156558,150,233,43.235591888427734,22.540000915527344,0.9873407117094066,-0.05090497473140598,-0.0635033617244305,0.06883625206468458
2010-10-28,Choppy,0.001126776235835979,147,222,45.68668746948242,20.709999084472656,1.0115761798846745,0.08220265274439198,-0.030396985044966573,0.12301634073535683
2010-11-27,Normal,0.0011134471349538632,146,222,46.194427490234375,22.219999313354492,1.1161902466956206,0.07628713553025457,-0.026175425600872604,0.10587537310881556
2010-12-27,Normal,0.0031383795153829067,149,233,48.01396179199219,16.469999313354492,0.8998032820083592,0.16437880833584662,0.02300162031309516,0.1152726017585064
2011-01-26,Normal,0.0016406941879195697,149,234,49.58401870727539,17.59000015258789,1.0226149774260949,-0.009549407393594112,0.00892513857451993,0.11007501486158633
2011-02-25,Choppy,0.0014288955161306713,150,222,49.87347412109375,21.31999969482422,1.220657260589143,0.0029171500995195387,-0.046759017201057795,0.06974025620146884
2011-03-27,Normal,0.0018820280243203554,139,243,49.92627716064453,17.90999984741211,0.8489358631892643,0.005547460925630743,-0.04486217661837333,0.04149920925512096
2011-04-26,Choppy,0.0013871891270840482,150,226,51.375579833984375,15.770000457763672,0.9342694093536655,-0.023519189753428482,-0.04811533940105572,0.051399840858523005
2011-05-26,Normal,0.000618227268875296,150,222,49.882354736328125,17.06999969482422,1.0130864214433868,-0.07096201895795795,-0.014536050645315046,0.002253388890463892
2011-06-25,Normal,0.0009133817937898589,146,225,47.87260818481445,21.100000381469727,1.1126344750109056,-0.06207123504480372,-0.0059117782632623905,-0.04181879290750734
2011-07-25,Normal,0.001462522913619885,141,223,52.46795654296875,17.520000457763672,0.9531581776409166,0.01890686430794264,0.009249188468779757,0.04498938405185249
2011-08-24,Normal,0.0011510623165179236,147,236,46.02389907836914,36.27000045776367,1.0833333494747746,-0.2758386642225329,-0.014409529628212847,-0.07430622641478024
2011-09-23,Normal,0.0008477296547998099,146,223,47.25582504272461,41.349998474121094,1.1841181808639751,-0.2411504245063918,0.04423127901426516,-0.04456783572022183
2011-10-23,Normal,0.1611717695659024,150,276,50.536739349365234,31.31999969482422,0.8727515815576286,0.21847351051517605,0.028024815371122447,0.028644400120754865
2011-11-22,Normal,0.006470126028628216,148,245,47.92612838745117,32.90999984741211,1.058505672495694,-0.12175468179283522,0.06083194203603237,-0.023610269442274623
2011-12-22,Choppy,0.011721715047295562,128,233,48.766292572021484,21.43000030517578,0.7769419104830895,0.014440431659355824,0.03238284657023249,-0.007688914972698302
2012-01-21,Normal,0.0008276567467513442,129,249,52.91693115234375,18.280000686645508,0.8551447065886536,0.05350658004331166,0.055248681440448255,0.07851316134227693
2012-02-20,Choppy,0.0010510528154386528,129,222,56.15728759765625,17.780000686645508,0.947837016980558,-0.008875801209233591,0.013154517741410965,0.11489358067462274
2012-03-21,Normal,0.000907049347431505,128,236,59.51620864868164,15.579999923706055,0.9144802373278161,0.15990214695631,-0.005373660625028753,0.14476440151698533
2012-04-20,Normal,0.0006594973999482765,127,222,58.40765380859375,18.360000610351562,1.0733390242879448,-0.14908452562547725,-0.0037566121896438487,0.08536392619167943
2012-05-20,Normal,0.002343031331633254,128,227,53.9290885925293,25.100000381469727,1.299541824528171,-0.13604061055003402,0.0314681313762224,-0.021512476891912935
2012-06-19,Normal,0.006275039178902615,127,234,56.51524353027344,18.31999969482422,0.8089192919291929,-0.06933021680191176,0.027589724562010698,0.007468762721301259
2012-07-19,Choppy,0.0014985195189094248,150,234,57.2352409362793,16.15999984741211,0.8995268559706041,-0.08703705679623563,0.04444722816270685,0.004714277995768068
2012-08-18,Normal,0.004453261102369188,128,225,60.72854232788086,13.449999809265137,0.8151762041106372,0.2438355734881159,0.006212719685493084,0.05644550401010284
2012-09-17,Normal,0.004316000674574648,128,234,62.381874084472656,14.510000228881836,0.9163535447543375,0.01851854016145449,-0.032396606440729614,0.07732534160260007
2012-10-17,Choppy,0.0022135988656278188,147,226,60.72346115112305,15.220000267028809,0.9973134299006119,-0.05077263012660793,-0.051845614446980104,0.04216705596827275
