Date,DBMF,JEPI
2019-05-08,16.523277282714844,
2019-05-09,16.53253173828125,
2019-05-10,16.535173416137695,
2019-05-13,16.414243698120117,
2019-05-14,16.508075714111328,
2019-05-15,16.714252471923828,
2019-05-16,16.893985748291016,
2019-05-17,16.94685173034668,
2019-05-20,16.837820053100586,
2019-05-21,16.856321334838867,
2019-05-22,16.866893768310547,
2019-05-23,16.774381637573242,
2019-05-24,16.809406280517578,
2019-05-28,16.914470672607422,
2019-05-29,16.84640884399414,
2019-05-30,16.881431579589844,
2019-05-31,16.748611450195312,
2019-06-03,16.689800262451172,
2019-06-04,16.717554092407227,
2019-06-05,16.780988693237305,
2019-06-06,16.757863998413086,
2019-06-07,16.887378692626953,
2019-06-10,16.802135467529297,
2019-06-11,16.767772674560547,
2019-06-12,16.841121673583984,
2019-06-13,16.940902709960938,
2019-06-14,17.020858764648438,
2019-06-17,17.01557159423828,
2019-06-18,17.14508628845215,
2019-06-19,17.20588493347168,
2019-06-20,17.1761474609375,
2019-06-21,16.899934768676758,
2019-06-24,16.943546295166016,
2019-06-25,16.969980239868164,
2019-06-26,16.790897369384766,
2019-06-27,16.89344596862793,
2019-06-28,16.972835540771484,
2019-07-01,17.04230499267578,
2019-07-02,17.197776794433594,
2019-07-03,17.355228424072266,
2019-07-05,17.183879852294922,
2019-07-08,17.147493362426758,
2019-07-09,17.128305435180664,
2019-07-10,17.101844787597656,
2019-07-11,16.958940505981445,
2019-07-12,17.002605438232422,
2019-07-15,17.091920852661133,
2019-07-16,17.085304260253906,
2019-07-17,17.151460647583008,
2019-07-18,17.151460647583008,
2019-07-19,17.140880584716797,
2019-07-22,17.17793083190918,
2019-07-23,17.284440994262695,
2019-07-24,17.431310653686523,
2019-07-25,17.2778263092041,
2019-07-26,17.400217056274414,
2019-07-29,17.375736236572266,
2019-07-30,17.265914916992188,
2019-07-31,17.343984603881836,
2019-08-01,17.4829158782959,
2019-08-02,17.351259231567383,
2019-08-05,17.095888137817383,
2019-08-06,17.363826751708984,
2019-08-07,17.419403076171875,
2019-08-08,17.59406089782715,
2019-08-09,17.441898345947266,
2019-08-12,17.690650939941406,
2019-08-13,17.777978897094727,
2019-08-14,18.030040740966797,
2019-08-15,18.34164810180664,
2019-08-16,18.2900447845459,
2019-08-19,18.138538360595703,
2019-08-20,18.21991539001465,
2019-08-21,18.19014549255371,
2019-08-22,18.09156608581543,
2019-08-23,18.14449119567871,
2019-08-26,18.246374130249023,
2019-08-27,18.485870361328125,
2019-08-28,18.553354263305664,
