ma_window,vol_window,ma_percentile,vol_percentile,danger_ratio,switches,Final Value,Total Return,CAGR,MDD,Sharpe,Volatility,Score
10,10,15,65,28.645833333333332,89,276409.33713311737,176.40933713311736,19.624664686505653,-22.697884300252294,1.3529814668461138,14.929014065382592,-0.9168069631791156
10,10,15,70,25.297619047619047,99,265608.8586689999,165.60885866899991,18.7872788570941,-25.48296744889939,1.2942231738292922,15.041486526249034,-1.254073571060647
10,10,15,75,22.69345238095238,93,271730.3050479949,171.7303050479949,19.265258433511057,-23.22540577552194,1.3095961200388482,15.211224910346836,-1.0129444575133455
10,10,15,80,20.238095238095237,85,267963.0047240793,167.96300472407927,18.972160481239687,-24.32983253614129,1.2857499963205115,15.299958354938681,-1.1472332572936175
10,10,15,85,19.122023809523807,83,275176.55660013476,175.17655660013477,19.530461460153404,-24.171207238102063,1.3038518482444796,15.492437467448214,-1.1132688755657265
10,10,20,65,31.101190476190478,85,279374.3011878476,179.3743011878476,19.849823881453,-21.472475625880083,1.3738417811726198,14.83826147250626,-0.7734057814153885
10,10,20,70,27.976190476190478,97,266620.03105864255,166.62003105864252,18.866855461519073,-24.265810212154882,1.3063682521050155,14.945143870122655,-1.1202127691104726
10,10,20,75,25.520833333333332,89,271275.4079944721,171.27540799447206,19.230045563697896,-21.940232684967793,1.3158346165861419,15.10261885854528,-0.8781886519106372
10,10,20,80,23.214285714285715,87,268492.74723736505,168.49274723736505,19.013579018567327,-23.07002945625733,1.2960895089418543,15.19398718736274,-1.0109134366838788
10,10,20,85,22.172619047619047,85,275199.74749387376,175.19974749387376,19.53223680343614,-23.078136456986933,1.3122267710519488,15.381665782166298,-0.9955868746467442
10,10,25,65,34.151785714285715,93,275441.15867720917,175.44115867720916,19.550710351158695,-21.885011145118515,1.368518056396488,14.684872580537672,-0.8199830581153635
10,10,25,70,31.398809523809522,103,265060.42045667005,165.06042045667004,18.744013777461134,-24.66196392985759,1.3117933534938286,14.780708441193873,-1.15440303949193
10,10,25,75,29.092261904761905,97,270385.73124533833,170.38573124533832,19.161036249664477,-22.348583552428167,1.3260978769857155,14.918307655924842,-0.908760478257101
10,10,25,80,27.157738095238095,101,265612.2462365564,165.6122462365564,18.78754586604916,-23.48979766429343,1.2984558763285328,14.986112952803488,-1.0505238901008103
10,10,25,85,26.413690476190478,99,263953.49568365415,163.95349568365413,18.656465827278403,-23.49289901076065,1.2873453696455308,15.029126162391307,-1.0619445314305342
10,10,30,65,37.351190476190474,96,276658.0124766765,176.65801247667648,19.64362531136643,-21.739620386825365,1.3842538040328385,14.565109507603403,-0.7897082346496982
10,10,30,70,34.598214285714285,108,266166.89800964633,166.16689800964633,18.831225880129175,-24.485970414394053,1.3262344402162467,14.666042310930832,-1.1223626012231585
10,10,30,75,32.589285714285715,102,271926.27411991224,171.92627411991225,19.280413128927165,-22.201429553355563,1.343156749030144,14.794609307159302,-0.8769862063054126
10,10,30,80,30.80357142857143,108,267377.9947215352,167.3779947215352,18.9263423440458,-23.329458904928345,1.3168335369344206,14.856814323485262,-1.016112353558414
10,10,30,85,30.059523809523807,108,265691.24676252605,165.69124676252605,18.793771912652456,-23.335013875275333,1.3054194981464717,14.900726339741965,-1.0280818893810615
10,10,35,65,41.220238095238095,108,273193.19396399945,173.19319396399945,19.378170165478803,-21.013977600736993,1.3883364334477784,14.32655321130906,-0.7130613266259211
10,10,35,70,38.839285714285715,130,266215.09380915447,166.21509380915444,18.835017860681603,-22.995099692788372,1.3453915208969836,14.434229870567725,-0.9541184483818537
10,10,35,75,36.904761904761905,122,271265.62850436335,171.26562850436335,19.22928801473056,-20.624292454029618,1.3593217588272315,14.559201709710917,-0.7031074865757303
10,10,35,80,35.19345238095239,128,267235.2431485145,167.23524314851446,18.915149470687,-21.802388190201366,1.3340343646008763,14.63250367538177,-0.8462044544192604
10,10,35,85,34.523809523809526,130,266034.3773334254,166.0343773334254,18.8207964153718,-21.818475742527703,1.3244530726612072,14.679775380078691,-0.8573945015915629
10,15,15,65,27.306547619047617,79,271094.91310642083,171.09491310642082,19.216060256673106,-23.68269632613054,1.3323663877284846,14.880968041152082,-1.0359032448845695
10,15,15,70,25.595238095238095,79,269011.7483510435,169.0117483510435,19.054092494821685,-24.74608107257043,1.3190580756063435,14.926415965225024,-1.1555500316506997
10,15,15,75,23.586309523809522,77,274599.95372572035,174.59995372572035,19.486280834122805,-23.661584765115702,1.3332217148298793,15.074249592431777,-1.032936761681691
10,15,15,80,22.61904761904762,77,274133.5605694279,174.1335605694279,19.450488787047693,-23.308864044910205,1.3270102973300404,15.126761436011114,-1.0038761071609803
10,15,15,85,20.982142857142858,83,274884.46207470854,174.88446207470852,19.508090052989967,-24.44318197619809,1.3129445421454256,15.35382157708067,-1.1313736554743834
10,15,20,65,29.761904761904763,77,271047.66803029476,171.04766803029477,19.212398294181178,-22.66529100611215,1.3400867381681516,14.781757763995893,-0.9264423624430631
10,15,20,70,28.125,77,269529.7062358018,169.5297062358018,19.09446039430489,-23.58754626002672,1.329266535839105,14.82786660517173,-1.0294880901635672
10,15,20,75,26.339285714285715,77,275467.6389868452,175.4676389868452,19.552735896423613,-22.534595063776084,1.3452961817118136,14.971454990379002,-0.908163324665795
10,15,20,80,25.669642857142854,77,274156.53962002654,174.15653962002656,19.452253424846266,-22.179933328671176,1.3363732929711154,15.008568925389918,-0.8816200398960023
10,15,20,85,24.107142857142858,87,274412.0449788182,174.41204497881824,19.47186632741891,-23.348083235945527,1.3200126176838038,15.233080829064702,-1.0147957059107489
10,15,25,65,33.407738095238095,89,269817.60734403465,169.81760734403463,19.116870816499,-23.12635944495507,1.3502704513950419,14.58564383404257,-0.962365493100465
10,15,25,70,31.845238095238095,93,266969.13859885617,166.96913859885618,18.89427157564807,-24.041674742619605,1.3330974224768473,14.628751480384356,-1.0710700517851133
10,15,25,75,30.208333333333332,89,272953.9658292607,172.9539658292607,19.359739680881184,-22.941563582587598,1.3500314069251358,14.769097409362839,-0.9441249513336238
10,15,25,80,29.613095238095237,89,271264.8022628732,171.2648022628732,19.22922401052789,-22.59493310998087,1.339364206591972,14.80351635121823,-0.9201291044061153
10,15,25,85,28.273809523809522,97,263173.6551333678,163.1736551333678,18.594605575571443,-23.7621251808186,1.2965631465174263,14.860137307566976,-1.0796493715644335
10,15,30,65,36.532738095238095,92,271564.4900592811,171.56449005928113,19.25242858261733,-22.639066182979565,1.368184879627926,14.471089557199623,-0.8957217386700305
10,15,30,70,35.19345238095239,96,266554.67581459065,166.55467581459064,18.861719697539602,-23.872516978731255,1.341528679025859,14.501242029417286,-1.0457230188472666
10,15,30,75,33.63095238095239,94,271698.42358292284,171.69842358292283,19.26279212216093,-22.785586449868127,1.3551146848843159,14.635307996197355,-0.9234439601024969
10,15,30,80,33.110119047619044,94,271415.9405640959,171.4159405640959,19.24092915916116,-22.442769845026433,1.3513108291730909,14.665320822383823,-0.8929661553295523
10,15,30,85,31.919642857142854,104,263523.2092011159,163.5232092011159,18.622352329781933,-23.60433489787425,1.3089482883185506,14.7230957821118,-1.0514852014688743
10,15,35,65,40.55059523809524,108,267145.54101793416,167.14554101793416,18.908113580889065,-22.082162605538002,1.3615459148179923,14.29675871053181,-0.8466703457358078
