regime_threshold,rsi_crisis,rsi_normal,adx_min,vix_high,danger_ratio,switches,Final Value,Total Return,CAGR,MDD,Sharpe,Volatility
1.0,40,30,15,25,16.145833333333336,81,303379.47459972504,203.37947459972506,21.603721701795877,-20.371609195638868,1.4172959175342887,15.55115506585224
1.0,40,30,15,30,15.029761904761903,51,304505.99263503525,204.50599263503526,21.683181666198557,-20.34415093676122,1.4119147305426183,15.673268085371022
1.0,40,30,15,35,14.880952380952381,47,304325.3808688327,204.3253808688327,21.670458369920233,-20.347648826952557,1.4105381162672954,15.68160172740084
1.0,40,30,20,25,15.029761904761903,71,301094.47046833084,201.09447046833085,21.441797489748794,-20.895699708672886,1.4028227629366499,15.617889717193496
1.0,40,30,20,30,13.913690476190476,41,302202.9096578589,202.2029096578589,21.520471720814815,-20.87131303227762,1.3975482150957963,15.739949330735964
1.0,40,30,20,35,13.764880952380953,37,302025.1964269352,202.0251964269352,21.5078740995287,-20.874419635523754,1.3961990040792602,15.748186698051303
1.0,40,30,25,25,13.095238095238097,63,289513.3450225356,189.51334502253562,20.605197260225914,-23.1486272845186,1.3476962373951928,15.722769594272936
1.0,40,30,25,30,12.053571428571429,35,290787.19986056106,190.7871998605611,20.698553742079675,-23.167417025511476,1.3434649957631892,15.84847254703907
1.0,40,30,25,35,11.904761904761903,31,290623.8538226167,190.6238538226167,20.686601519957783,-23.16542262041877,1.3421969234198388,15.856548297941966
1.0,40,35,15,25,16.220238095238095,83,304322.558536651,204.322558536651,21.67025949980641,-20.371609195638868,1.421202749683999,15.54920469049898
1.0,40,35,15,30,15.104166666666666,53,305456.5382079474,205.4565382079474,21.75004110711354,-20.34415093676122,1.4158050871243268,15.671327164510751
1.0,40,35,15,35,14.955357142857142,49,305274.73013665964,205.27473013665963,21.737266365957318,-20.347648826952557,1.4144235808500016,15.679662807293415
1.0,40,35,20,25,15.104166666666666,73,302022.41938875394,202.02241938875397,21.50767719418234,-20.895699708672886,1.406674828133757,15.615991516386282
1.0,40,35,20,30,13.988095238095239,43,303138.2004667256,203.1382004667256,21.586671618499366,-20.87131303227762,1.4013843723568864,15.738060184611896
1.0,40,35,20,35,13.839285714285715,39,302959.3101295351,202.95931012953508,21.57402278327327,-20.874419635523754,1.400030359124366,15.74629949713395
1.0,40,35,25,25,13.095238095238097,63,289513.3450225356,189.51334502253562,20.605197260225914,-23.1486272845186,1.3476962373951928,15.722769594272936
1.0,40,35,25,30,12.053571428571429,35,290787.19986056106,190.7871998605611,20.698553742079675,-23.167417025511476,1.3434649957631892,15.84847254703907
1.0,40,35,25,35,11.904761904761903,31,290623.8538226167,190.6238538226167,20.686601519957783,-23.16542262041877,1.3421969234198388,15.856548297941966
1.0,40,40,15,25,16.220238095238095,83,304322.558536651,204.322558536651,21.67025949980641,-20.371609195638868,1.421202749683999,15.54920469049898
1.0,40,40,15,30,15.104166666666666,53,305456.5382079474,205.4565382079474,21.75004110711354,-20.34415093676122,1.4158050871243268,15.671327164510751
1.0,40,40,15,35,14.955357142857142,49,305274.73013665964,205.27473013665963,21.737266365957318,-20.347648826952557,1.4144235808500016,15.679662807293415
1.0,40,40,20,25,15.104166666666666,73,302022.41938875394,202.02241938875397,21.50767719418234,-20.895699708672886,1.406674828133757,15.615991516386282
1.0,40,40,20,30,13.988095238095239,43,303138.2004667256,203.1382004667256,21.586671618499366,-20.87131303227762,1.4013843723568864,15.738060184611896
1.0,40,40,20,35,13.839285714285715,39,302959.3101295351,202.95931012953508,21.57402278327327,-20.874419635523754,1.400030359124366,15.74629949713395
1.0,40,40,25,25,13.095238095238097,63,289513.3450225356,189.51334502253562,20.605197260225914,-23.1486272845186,1.3476962373951928,15.722769594272936
1.0,40,40,25,30,12.053571428571429,35,290787.19986056106,190.7871998605611,20.698553742079675,-23.167417025511476,1.3434649957631892,15.84847254703907
1.0,40,40,25,35,11.904761904761903,31,290623.8538226167,190.6238538226167,20.686601519957783,-23.16542262041877,1.3421969234198388,15.856548297941966
1.0,45,30,15,25,16.294642857142858,81,305621.36537048535,205.62136537048534,21.76161727286454,-20.004894924476417,1.4253203218501962,15.561753618956853
1.0,45,30,15,30,15.178571428571427,51,306765.62114068546,206.76562114068545,21.841839342058545,-20.00099902055711,1.4199236709043248,15.683794790463343
1.0,45,30,15,35,15.029761904761903,47,306582.1655286442,206.58216552864423,21.828994152245286,-20.001495317287592,1.4185384326938466,15.692121941932365
1.0,45,30,20,25,15.178571428571427,71,303300.38241209096,203.30038241209095,21.598133736964797,-20.70946964093431,1.4107444720816162,15.628525879951757
1.0,45,30,20,30,14.0625,41,304426.2746737129,204.42627467371292,21.677566656692115,-20.709703098838517,1.4054550625492557,15.75051522072068
